order,x
O1,20.0
O2,26.0
O3,27.0
O4,28.0
O5,9.0
O6,29.0
O7,22.0
O8,33.0
O9,12.0
O10,25.0
O11,26.0
O12,30.0
O13,28.0
O14,15.0
O15,19.0
O16,42.0
O17,15.0
O18,25.0
O19,9.0
O20,35.0
O21,18.0
O22,12.0
O23,30.0
O24,33.0
O25,25.0
O26,18.0
O27,15.0
O28,12.0
O29,6.0
O30,12.0
O31,15.0
O32,11.0
O33,15.0
O34,6.0
O35,15.0
O36,12.0
O37,15.0
O38,15.0
O39,18.0
O40,25.0
O41,15.0
O42,12.0
O43,12.0
O44,18.0
O45,26.0
O46,9.0
O47,35.0
O48,27.0
O49,21.0
O50,25.0
O51,12.0
O52,12.0
O53,15.0
O54,15.0
O55,27.0
O56,22.0
O57,32.0
O58,12.0
O59,15.0
O60,15.0
O61,18.0
O62,22.0
O63,32.0
O64,15.0
O65,24.0
O66,15.0
O67,15.0
O68,15.0
O69,15.0
O70,20.0
O71,21.0
O72,18.0
O73,21.0
O74,18.0
O75,28.0
O76,25.0
O77,29.0
O78,27.0
O79,18.0
O80,42.0
O81,19.0
O82,18.0
O83,19.0
O84,29.0
O85,26.0
O86,23.0
O87,24.0
O88,19.0
O89,20.0
O90,24.0
O91,24.0
O92,23.0
O93,23.0
O94,25.0
O95,25.0
O96,24.0
O97,22.0
O98,27.0
O99,29.0
O100,26.0
O101,23.0
O102,26.0
O103,25.0
O104,29.0
O105,30.0
O106,27.0
O107,23.0
O108,26.0
O109,25.0
O110,30.0
O111,30.0
O112,30.0
O113,33.0
O114,31.0
O115,31.0
O116,33.0
O117,31.0
O118,32.0
O119,30.0
O120,32.0
O121,33.0
O122,28.0
O123,33.0
O124,33.0
O125,34.0
O126,33.0
O127,33.0
O128,32.0
O129,33.0
O130,35.0
O131,30.0
O132,32.0
O133,39.0
O134,34.0
O135,32.0
O136,34.0
O137,29.0
O138,34.0
O139,35.0
O140,34.0
O141,31.0
O142,31.0
O143,32.0
O144,35.0
O145,38.0
O146,34.0
O147,35.0
O148,37.0
O149,36.0
O150,35.0
O151,38.0
O152,37.0
O153,36.0
O154,37.0
O155,36.0
O156,42.0
O157,37.0
O158,39.0
O159,36.0
O160,45.0
O161,40.0
O162,39.0
O163,39.0
O164,40.0
O165,39.0
O166,34.0
O167,42.0
O168,42.0
O169,39.0
O170,39.0
O171,40.0
O172,48.0
O173,43.0
O174,44.0
O175,36.0
O176,42.0
O177,40.0
O178,42.0
O179,48.0
O180,42.0
O181,39.0
O182,40.0
O183,41.0
O184,40.0
O185,39.0
O186,39.0
O187,39.0
O188,43.0
O189,40.0
O190,42.0
O191,43.0
O192,43.0
O193,49.0
O194,43.0
O195,42.0
O196,45.0
O197,45.0
O198,48.0
O199,45.0
O200,49.0
O201,48.0
O202,48.0
