order,x
O1,15.0
O2,23.0
O3,22.0
O4,22.0
O5,23.0
O6,15.0
O7,29.0
O8,9.0
O9,38.0
O10,39.0
O11,15.0
O12,25.0
O13,15.0
O14,18.0
O15,30.0
O16,25.0
O17,27.0
O18,30.0
O19,12.0
O20,18.0
O21,18.0
O22,15.0
O23,15.0
O24,21.0
O25,12.0
O26,15.0
O27,34.0
O28,12.0
O29,23.0
O30,23.0
O31,18.0
O32,12.0
O33,27.0
O34,23.0
O35,21.0
O36,18.0
O37,15.0
O38,15.0
O39,30.0
O40,12.0
O41,7.0
O42,15.0
O43,15.0
O44,12.0
O45,18.0
O46,18.0
O47,15.0
O48,12.0
O49,25.0
O50,12.0
O51,26.0
O52,12.0
O53,21.0
O54,12.0
O55,12.0
O56,15.0
O57,35.0
O58,24.0
O59,22.0
O60,18.0
O61,12.0
O62,15.0
O63,33.0
O64,12.0
O65,32.0
O66,27.0
O67,19.0
O68,18.0
O69,12.0
O70,12.0
O71,15.0
O72,29.0
O73,20.0
O74,29.0
O75,15.0
O76,26.0
O77,27.0
O78,12.0
O79,23.0
O80,19.0
O81,15.0
O82,43.0
O83,23.0
O84,33.0
O85,24.0
O86,21.0
O87,22.0
O88,30.0
O89,21.0
O90,27.0
O91,18.0
O92,39.0
O93,25.0
O94,30.0
O95,21.0
O96,20.0
O97,23.0
O98,20.0
O99,36.0
O100,19.0
O101,18.0
O102,21.0
O103,18.0
O104,18.0
O105,21.0
O106,23.0
O107,22.0
O108,23.0
O109,22.0
O110,24.0
O111,24.0
O112,23.0
O113,28.0
O114,26.0
O115,27.0
O116,28.0
O117,27.0
O118,27.0
O119,24.0
O120,26.0
O121,33.0
O122,26.0
O123,28.0
O124,31.0
O125,36.0
O126,27.0
O127,27.0
O128,26.0
O129,30.0
O130,25.0
O131,30.0
O132,28.0
O133,33.0
O134,30.0
O135,36.0
O136,30.0
O137,30.0
O138,32.0
O139,31.0
O140,25.0
O141,28.0
O142,29.0
O143,31.0
O144,31.0
O145,31.0
O146,26.0
O147,30.0
O148,31.0
O149,39.0
O150,36.0
O151,33.0
O152,34.0
O153,39.0
O154,35.0
O155,36.0
O156,35.0
O157,34.0
O158,36.0
O159,35.0
O160,33.0
O161,34.0
O162,34.0
O163,31.0
O164,41.0
O165,37.0
O166,42.0
O167,42.0
O168,36.0
O169,39.0
O170,37.0
O171,35.0
O172,35.0
O173,35.0
O174,34.0
O175,33.0
O176,33.0
O177,32.0
O178,38.0
O179,32.0
O180,36.0
O181,33.0
O182,37.0
O183,36.0
O184,37.0
O185,36.0
O186,36.0
O187,42.0
O188,38.0
O189,42.0
O190,37.0
O191,45.0
O192,39.0
O193,39.0
O194,42.0
O195,40.0
O196,45.0
O197,42.0
O198,41.0
O199,42.0
O200,42.0
O201,48.0
O202,42.0
O203,47.0
O204,45.0
O205,50.0
O206,48.0
O207,42.0
O208,45.0
O209,45.0
O210,45.0
O211,45.0
O212,45.0
O213,50.0
O214,45.0
O215,45.0
O216,48.0
O217,48.0
O218,48.0
O219,48.0
