order,x
O1,15.0
O2,42.0
O3,44.0
O4,25.0
O5,21.0
O6,18.0
O7,15.0
O8,15.0
O9,27.0
O10,12.0
O11,12.0
O12,21.0
O13,15.0
O14,18.0
O15,27.0
O16,21.0
O17,15.0
O18,38.0
O19,18.0
O20,15.0
O21,31.0
O22,12.0
O23,21.0
O24,9.0
O25,28.0
O26,9.0
O27,15.0
O28,28.0
O29,30.0
O30,18.0
O31,12.0
O32,12.0
O33,24.0
O34,18.0
O35,12.0
O36,30.0
O37,13.0
O38,30.0
O39,12.0
O40,15.0
O41,15.0
O42,15.0
O43,15.0
O44,15.0
O45,12.0
O46,15.0
O47,15.0
O48,15.0
O49,15.0
O50,33.0
O51,15.0
O52,27.0
O53,21.0
O54,24.0
O55,15.0
O56,18.0
O57,23.0
O58,30.0
O59,21.0
O60,21.0
O61,29.0
O62,18.0
O63,18.0
O64,18.0
O65,30.0
O66,21.0
O67,18.0
O68,22.0
O69,21.0
O70,26.0
O71,24.0
O72,25.0
O73,24.0
O74,24.0
O75,22.0
O76,32.0
O77,30.0
O78,21.0
O79,24.0
O80,24.0
O81,24.0
O82,26.0
O83,32.0
O84,27.0
O85,25.0
O86,24.0
O87,24.0
O88,24.0
O89,24.0
O90,25.0
O91,27.0
O92,27.0
O93,28.0
O94,26.0
O95,29.0
O96,33.0
O97,39.0
O98,27.0
O99,33.0
O100,27.0
O101,30.0
O102,27.0
O103,33.0
O104,35.0
O105,33.0
O106,28.0
O107,27.0
O108,29.0
O109,27.0
O110,31.0
O111,27.0
O112,36.0
O113,30.0
O114,31.0
O115,32.0
O116,30.0
O117,28.0
O118,36.0
O119,31.0
O120,30.0
O121,32.0
O122,30.0
O123,33.0
O124,36.0
O125,31.0
O126,30.0
O127,33.0
O128,33.0
O129,32.0
O130,36.0
O131,31.0
O132,30.0
O133,35.0
O134,36.0
O135,35.0
O136,35.0
O137,33.0
O138,39.0
O139,36.0
O140,42.0
O141,34.0
O142,37.0
O143,37.0
O144,35.0
O145,34.0
O146,36.0
O147,33.0
O148,42.0
O149,36.0
O150,35.0
O151,40.0
O152,37.0
O153,41.0
O154,40.0
O155,42.0
O156,39.0
O157,38.0
O158,40.0
O159,37.0
O160,37.0
O161,39.0
O162,40.0
O163,37.0
O164,36.0
O165,41.0
O166,44.0
O167,39.0
O168,45.0
O169,45.0
O170,43.0
O171,42.0
O172,39.0
O173,42.0
O174,45.0
O175,42.0
O176,42.0
O177,42.0
O178,42.0
O179,46.0
O180,45.0
O181,47.0
O182,44.0
O183,41.0
O184,45.0
O185,45.0
O186,42.0
O187,42.0
O188,48.0
O189,45.0
O190,47.0
O191,45.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
M38,-1.0
M39,-1.0
