order,x
O1,38.0
O2,21.0
O3,24.0
O4,19.0
O5,28.0
O6,28.0
O7,12.0
O8,30.0
O9,15.0
O10,30.0
O11,9.0
O12,9.0
O13,23.0
O14,12.0
O15,24.0
O16,17.0
O17,12.0
O18,12.0
O19,17.0
O20,23.0
O21,28.0
O22,15.0
O23,12.0
O24,12.0
O25,12.0
O26,21.0
O27,12.0
O28,6.0
O29,12.0
O30,6.0
O31,24.0
O32,9.0
O33,25.0
O34,18.0
O35,9.0
O36,22.0
O37,6.0
O38,27.0
O39,9.0
O40,21.0
O41,12.0
O42,15.0
O43,12.0
O44,13.0
O45,9.0
O46,15.0
O47,9.0
O48,32.0
O49,11.0
O50,12.0
O51,17.0
O52,27.0
O53,29.0
O54,19.0
O55,17.0
O56,12.0
O57,10.0
O58,18.0
O59,20.0
O60,9.0
O61,22.0
O62,12.0
O63,27.0
O64,12.0
O65,23.0
O66,17.0
O67,16.0
O68,12.0
O69,12.0
O70,17.0
O71,21.0
O72,15.0
O73,29.0
O74,12.0
O75,12.0
O76,16.0
O77,21.0
O78,12.0
O79,12.0
O80,25.0
O81,23.0
O82,30.0
O83,18.0
O84,17.0
O85,33.0
O86,18.0
O87,26.0
O88,21.0
O89,19.0
O90,17.0
O91,24.0
O92,15.0
O93,15.0
O94,16.0
O95,22.0
O96,22.0
O97,17.0
O98,24.0
O99,20.0
O100,20.0
O101,29.0
O102,17.0
O103,24.0
O104,20.0
O105,20.0
O106,20.0
O107,28.0
O108,23.0
O109,35.0
O110,28.0
O111,26.0
O112,18.0
O113,25.0
O114,22.0
O115,26.0
O116,25.0
O117,19.0
O118,25.0
O119,23.0
O120,26.0
O121,25.0
O122,28.0
O123,26.0
O124,26.0
O125,27.0
O126,29.0
O127,30.0
O128,31.0
O129,28.0
O130,29.0
O131,29.0
O132,32.0
O133,27.0
O134,32.0
O135,30.0
O136,29.0
O137,36.0
O138,31.0
O139,31.0
O140,32.0
O141,34.0
O142,32.0
O143,35.0
O144,34.0
O145,32.0
O146,33.0
O147,33.0
O148,33.0
O149,33.0
O150,31.0
O151,35.0
O152,33.0
O153,37.0
O154,33.0
O155,33.0
O156,33.0
O157,34.0
O158,38.0
O159,36.0
O160,38.0
O161,38.0
O162,37.0
O163,48.0
O164,37.0
O165,37.0
O166,37.0
O167,37.0
O168,37.0
O169,36.0
O170,43.0
O171,39.0
O172,38.0
O173,38.0
O174,38.0
O175,37.0
O176,37.0
O177,35.0
O178,39.0
O179,38.0
O180,37.0
O181,42.0
O182,42.0
O183,43.0
O184,40.0
O185,46.0
O186,40.0
O187,40.0
O188,41.0
O189,39.0
O190,42.0
O191,42.0
O192,42.0
O193,38.0
O194,43.0
O195,45.0
O196,38.0
O197,43.0
O198,43.0
O199,42.0
O200,43.0
O201,42.0
O202,39.0
O203,45.0
O204,45.0
O205,46.0
O206,43.0
O207,41.0
O208,43.0
O209,44.0
O210,42.0
O211,44.0
O212,40.0
O213,46.0
O214,44.0
O215,44.0
O216,42.0
O217,46.0
O218,47.0
O219,45.0
O220,45.0
O221,47.0
O222,42.0
O223,45.0
O224,49.0
O225,48.0
O226,47.0
O227,49.0
O228,47.0
O229,50.0
O230,53.0
O231,48.0
O232,49.0
O233,48.0
O234,50.0
O235,48.0
O236,47.0
O237,49.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
M38,-1.0
