order,z1
O1,1
O2,0
O3,0
O4,0
O5,1
O6,1
O7,0
O8,0
O9,0
O10,0
O11,0
O12,0
O13,0
O14,0
O15,0
O16,0
O17,0
O18,0
O19,0
O20,0
O21,1
O22,0
O23,0
O24,0
O25,0
O26,0
O27,0
O28,0
O29,0
O30,0
O31,0
O32,0
O33,0
O34,0
O35,0
O36,0
O37,0
O38,0
O39,0
O40,0
O41,0
O42,0
O43,0
O44,0
O45,0
O46,0
O47,0
O48,0
O49,0
O50,0
O51,0
O52,0
O53,0
O54,0
O55,0
O56,0
O57,0
O58,0
O59,0
O60,0
O61,0
O62,0
O63,0
O64,0
O65,0
O66,0
O67,0
O68,0
O69,0
O70,0
O71,0
O72,0
O73,0
O74,0
O75,0
O76,0
O77,0
O78,0
O79,0
O80,0
O81,0
O82,0
O83,0
O84,0
O85,0
O86,0
O87,0
O88,0
O89,0
O90,0
O91,0
O92,0
O93,0
O94,0
O95,0
O96,0
O97,0
O98,0
O99,0
O100,0
O101,0
O102,0
O103,0
O104,0
O105,0
O106,0
O107,1
O108,0
O109,1
O110,0
O111,0
O112,0
O113,1
O114,0
O115,0
O116,0
O117,0
O118,1
O119,0
O120,0
O121,0
O122,1
O123,0
O124,0
O125,0
O126,0
O127,0
O128,0
O129,0
O130,0
O131,0
O132,1
O133,0
O134,1
O135,0
O136,0
O137,0
O138,1
O139,0
O140,0
O141,1
O142,0
O143,1
O144,1
O145,0
O146,0
O147,0
O148,0
O149,0
O150,0
O151,1
O152,0
O153,1
O154,0
O155,0
O156,0
O157,1
O158,1
O159,1
O160,1
O161,1
O162,1
O163,0
O164,1
O165,1
O166,1
O167,1
O168,1
O169,0
O170,0
O171,1
O172,1
O173,1
O174,1
O175,1
O176,1
O177,0
O178,1
O179,1
O180,1
O181,1
O182,1
O183,0
O184,1
O185,0
O186,1
O187,1
O188,1
O189,1
O190,1
O191,1
O192,1
O193,0
O194,0
O195,1
O196,0
O197,0
O198,0
O199,1
O200,0
O201,1
O202,0
O203,1
O204,1
O205,0
O206,0
O207,1
O208,0
O209,1
O210,1
O211,0
O212,1
O213,0
O214,0
O215,0
O216,1
O217,0
O218,0
O219,0
O220,1
O221,0
O222,0
O223,1
O224,0
O225,1
O226,0
O227,0
O228,0
O229,0
O230,0
O231,0
O232,0
O233,0
O234,0
O235,0
O236,0
O237,0
