order,x
O1,19.0
O2,22.0
O3,12.0
O4,15.0
O5,15.0
O6,27.0
O7,21.0
O8,26.0
O9,30.0
O10,26.0
O11,9.0
O12,4.0
O13,21.0
O14,15.0
O15,15.0
O16,18.0
O17,12.0
O18,12.0
O19,12.0
O20,15.0
O21,15.0
O22,15.0
O23,12.0
O24,9.0
O25,15.0
O26,18.0
O27,9.0
O28,15.0
O29,27.0
O30,22.0
O31,30.0
O32,15.0
O33,22.0
O34,24.0
O35,15.0
O36,36.0
O37,25.0
O38,24.0
O39,10.0
O40,21.0
O41,15.0
O42,36.0
O43,12.0
O44,24.0
O45,12.0
O46,33.0
O47,15.0
O48,15.0
O49,26.0
O50,15.0
O51,15.0
O52,12.0
O53,21.0
O54,21.0
O55,18.0
O56,18.0
O57,23.0
O58,15.0
O59,15.0
O60,19.0
O61,18.0
O62,33.0
O63,25.0
O64,19.0
O65,15.0
O66,15.0
O67,18.0
O68,24.0
O69,19.0
O70,19.0
O71,19.0
O72,19.0
O73,18.0
O74,19.0
O75,20.0
O76,20.0
O77,24.0
O78,22.0
O79,20.0
O80,18.0
O81,19.0
O82,36.0
O83,25.0
O84,19.0
O85,39.0
O86,21.0
O87,27.0
O88,21.0
O89,22.0
O90,23.0
O91,23.0
O92,25.0
O93,22.0
O94,24.0
O95,21.0
O96,35.0
O97,26.0
O98,28.0
O99,28.0
O100,21.0
O101,25.0
O102,29.0
O103,24.0
O104,25.0
O105,25.0
O106,24.0
O107,26.0
O108,36.0
O109,26.0
O110,27.0
O111,29.0
O112,27.0
O113,30.0
O114,27.0
O115,25.0
O116,38.0
O117,25.0
O118,33.0
O119,27.0
O120,32.0
O121,27.0
O122,27.0
O123,31.0
O124,29.0
O125,28.0
O126,28.0
O127,30.0
O128,42.0
O129,27.0
O130,31.0
O131,30.0
O132,29.0
O133,28.0
O134,34.0
O135,30.0
O136,30.0
O137,29.0
O138,28.0
O139,38.0
O140,34.0
O141,30.0
O142,30.0
O143,35.0
O144,36.0
O145,30.0
O146,33.0
O147,31.0
O148,33.0
O149,30.0
O150,34.0
O151,38.0
O152,36.0
O153,39.0
O154,33.0
O155,42.0
O156,41.0
O157,33.0
O158,37.0
O159,33.0
O160,36.0
O161,37.0
O162,40.0
O163,38.0
O164,38.0
O165,36.0
O166,36.0
O167,42.0
O168,36.0
O169,39.0
O170,39.0
O171,39.0
O172,42.0
O173,42.0
O174,42.0
O175,42.0
O176,45.0
O177,42.0
O178,42.0
O179,42.0
O180,42.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
