order,x
O1,25.0
O2,15.0
O3,43.0
O4,12.0
O5,22.0
O6,9.0
O7,19.0
O8,15.0
O9,15.0
O10,31.0
O11,12.0
O12,6.0
O13,34.0
O14,12.0
O15,24.0
O16,6.0
O17,22.0
O18,24.0
O19,30.0
O20,12.0
O21,15.0
O22,7.0
O23,21.0
O24,9.0
O25,12.0
O26,21.0
O27,6.0
O28,21.0
O29,12.0
O30,12.0
O31,21.0
O32,6.0
O33,15.0
O34,7.0
O35,8.0
O36,18.0
O37,15.0
O38,15.0
O39,8.0
O40,15.0
O41,15.0
O42,9.0
O43,8.0
O44,33.0
O45,19.0
O46,16.0
O47,15.0
O48,19.0
O49,16.0
O50,17.0
O51,22.0
O52,29.0
O53,19.0
O54,9.0
O55,15.0
O56,9.0
O57,9.0
O58,15.0
O59,25.0
O60,12.0
O61,25.0
O62,12.0
O63,27.0
O64,39.0
O65,18.0
O66,15.0
O67,19.0
O68,24.0
O69,27.0
O70,15.0
O71,12.0
O72,12.0
O73,27.0
O74,16.0
O75,15.0
O76,18.0
O77,15.0
O78,15.0
O79,30.0
O80,23.0
O81,18.0
O82,17.0
O83,32.0
O84,15.0
O85,17.0
O86,15.0
O87,15.0
O88,22.0
O89,21.0
O90,36.0
O91,16.0
O92,22.0
O93,22.0
O94,27.0
O95,30.0
O96,22.0
O97,24.0
O98,29.0
O99,26.0
O100,22.0
O101,29.0
O102,32.0
O103,24.0
O104,29.0
O105,31.0
O106,34.0
O107,25.0
O108,24.0
O109,24.0
O110,21.0
O111,27.0
O112,29.0
O113,21.0
O114,21.0
O115,20.0
O116,22.0
O117,35.0
O118,26.0
O119,28.0
O120,27.0
O121,26.0
O122,30.0
O123,25.0
O124,28.0
O125,29.0
O126,25.0
O127,26.0
O128,32.0
O129,28.0
O130,33.0
O131,29.0
O132,31.0
O133,31.0
O134,32.0
O135,35.0
O136,34.0
O137,33.0
O138,36.0
O139,31.0
O140,42.0
O141,26.0
O142,35.0
O143,33.0
O144,33.0
O145,42.0
O146,34.0
O147,35.0
O148,35.0
O149,38.0
O150,34.0
O151,31.0
O152,29.0
O153,36.0
O154,36.0
O155,34.0
O156,34.0
O157,39.0
O158,38.0
O159,39.0
O160,34.0
O161,37.0
O162,31.0
O163,41.0
O164,38.0
O165,38.0
O166,38.0
O167,38.0
O168,37.0
O169,39.0
O170,36.0
O171,39.0
O172,40.0
O173,40.0
O174,41.0
O175,41.0
O176,36.0
O177,41.0
O178,43.0
O179,40.0
O180,46.0
O181,44.0
O182,42.0
O183,40.0
O184,40.0
O185,40.0
O186,43.0
O187,42.0
O188,43.0
O189,48.0
O190,48.0
O191,46.0
O192,45.0
O193,46.0
O194,46.0
O195,42.0
O196,47.0
O197,47.0
O198,43.0
O199,46.0
O200,43.0
O201,51.0
O202,48.0
O203,43.0
O204,42.0
O205,42.0
O206,43.0
O207,46.0
O208,44.0
O209,49.0
O210,45.0
O211,45.0
O212,43.0
O213,43.0
O214,45.0
O215,44.0
O216,47.0
O217,49.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
M38,-1.0
M39,-1.0
