order,x
O1,23.0
O2,24.0
O3,19.0
O4,47.0
O5,27.0
O6,24.0
O7,12.0
O8,25.0
O9,22.0
O10,27.0
O11,12.0
O12,9.0
O13,9.0
O14,20.0
O15,15.0
O16,17.0
O17,33.0
O18,19.0
O19,24.0
O20,18.0
O21,12.0
O22,36.0
O23,28.0
O24,6.0
O25,22.0
O26,12.0
O27,21.0
O28,15.0
O29,12.0
O30,12.0
O31,39.0
O32,18.0
O33,12.0
O34,12.0
O35,9.0
O36,15.0
O37,15.0
O38,17.0
O39,12.0
O40,32.0
O41,12.0
O42,12.0
O43,15.0
O44,12.0
O45,31.0
O46,17.0
O47,12.0
O48,19.0
O49,12.0
O50,21.0
O51,24.0
O52,12.0
O53,34.0
O54,12.0
O55,7.0
O56,20.0
O57,21.0
O58,14.0
O59,12.0
O60,23.0
O61,15.0
O62,12.0
O63,10.0
O64,9.0
O65,30.0
O66,39.0
O67,15.0
O68,34.0
O69,30.0
O70,31.0
O71,12.0
O72,20.0
O73,19.0
O74,9.0
O75,18.0
O76,27.0
O77,12.0
O78,24.0
O79,25.0
O80,33.0
O81,19.0
O82,24.0
O83,24.0
O84,20.0
O85,32.0
O86,29.0
O87,23.0
O88,20.0
O89,20.0
O90,19.0
O91,31.0
O92,18.0
O93,33.0
O94,32.0
O95,21.0
O96,32.0
O97,26.0
O98,24.0
O99,26.0
O100,27.0
O101,25.0
O102,26.0
O103,33.0
O104,40.0
O105,26.0
O106,30.0
O107,30.0
O108,26.0
O109,21.0
O110,28.0
O111,31.0
O112,25.0
O113,27.0
O114,25.0
O115,28.0
O116,35.0
O117,28.0
O118,28.0
O119,31.0
O120,29.0
O121,28.0
O122,28.0
O123,32.0
O124,35.0
O125,41.0
O126,40.0
O127,40.0
O128,39.0
O129,41.0
O130,36.0
O131,36.0
O132,39.0
O133,46.0
O134,42.0
O135,48.0
O136,47.0
O137,42.0
O138,43.0
O139,43.0
O140,44.0
O141,42.0
O142,51.0
O143,46.0
O144,50.0
O145,50.0
O146,51.0
O147,48.0
O148,50.0
O149,39.0
O150,39.0
O151,42.0
O152,45.0
O153,46.0
O154,39.0
O155,41.0
O156,44.0
O157,45.0
O158,47.0
O159,44.0
O160,48.0
O161,42.0
O162,44.0
O163,47.0
O164,51.0
O165,45.0
O166,48.0
O167,51.0
O168,51.0
O169,51.0
O170,50.0
O171,40.0
O172,49.0
O173,47.0
O174,45.0
O175,49.0
O176,42.0
O177,42.0
O178,44.0
O179,46.0
O180,49.0
O181,48.0
O182,51.0
O183,50.0
