order,x
O1,30.0
O2,6.0
O3,19.0
O4,15.0
O5,18.0
O6,9.0
O7,31.0
O8,9.0
O9,30.0
O10,40.0
O11,31.0
O12,18.0
O13,12.0
O14,30.0
O15,23.0
O16,31.0
O17,18.0
O18,31.0
O19,18.0
O20,38.0
O21,9.0
O22,12.0
O23,19.0
O24,18.0
O25,15.0
O26,24.0
O27,15.0
O28,40.0
O29,36.0
O30,34.0
O31,21.0
O32,18.0
O33,15.0
O34,24.0
O35,21.0
O36,15.0
O37,12.0
O38,12.0
O39,36.0
O40,15.0
O41,18.0
O42,18.0
O43,9.0
O44,27.0
O45,9.0
O46,15.0
O47,36.0
O48,9.0
O49,34.0
O50,35.0
O51,12.0
O52,9.0
O53,29.0
O54,27.0
O55,22.0
O56,15.0
O57,7.0
O58,21.0
O59,15.0
O60,22.0
O61,18.0
O62,41.0
O63,15.0
O64,28.0
O65,35.0
O66,9.0
O67,15.0
O68,22.0
O69,41.0
O70,40.0
O71,9.0
O72,21.0
O73,29.0
O74,18.0
O75,22.0
O76,18.0
O77,35.0
O78,15.0
O79,41.0
O80,23.0
O81,9.0
O82,12.0
O83,9.0
O84,12.0
O85,17.0
O86,15.0
O87,25.0
O88,27.0
O89,23.0
O90,25.0
O91,18.0
O92,26.0
O93,24.0
O94,21.0
O95,24.0
O96,34.0
O97,33.0
O98,36.0
O99,26.0
O100,43.0
O101,28.0
O102,34.0
O103,29.0
O104,26.0
O105,21.0
O106,39.0
O107,22.0
O108,23.0
O109,37.0
O110,30.0
O111,23.0
O112,0.0
O113,23.0
O114,29.0
O115,21.0
O116,24.0
O117,22.0
O118,41.0
O119,0.0
O120,0.0
O121,35.0
O122,31.0
O123,37.0
O124,34.0
O125,29.0
O126,32.0
O127,36.0
O128,35.0
O129,28.0
O130,28.0
O131,37.0
O132,36.0
O133,30.0
O134,0.0
O135,40.0
O136,36.0
O137,34.0
O138,31.0
O139,41.0
O140,38.0
O141,37.0
O142,32.0
O143,33.0
O144,32.0
O145,45.0
O146,39.0
O147,38.0
O148,39.0
O149,42.0
O150,39.0
O151,40.0
O152,48.0
O153,49.0
O154,47.0
O155,47.0
O156,50.0
O157,50.0
O158,48.0
O159,49.0
O160,42.0
O161,42.0
O162,43.0
O163,42.0
O164,50.0
O165,44.0
O166,42.0
O167,43.0
O168,44.0
O169,48.0
O170,42.0
O171,46.0
O172,46.0
O173,44.0
O174,43.0
O175,42.0
O176,45.0
O177,45.0
O178,46.0
O179,45.0
O180,46.0
O181,48.0
O182,46.0
O183,46.0
O184,46.0
O185,52.0
O186,50.0
O187,47.0
O188,47.0
O189,51.0
O190,48.0
O191,50.0
O192,48.0
O193,46.0
O194,51.0
O195,51.0
O196,49.0
O197,53.0
O198,50.0
O199,51.0
O200,51.0
