order,x
O1,24.0
O2,15.0
O3,15.0
O4,21.0
O5,21.0
O6,21.0
O7,27.0
O8,9.0
O9,30.0
O10,18.0
O11,15.0
O12,30.0
O13,27.0
O14,34.0
O15,25.0
O16,21.0
O17,21.0
O18,12.0
O19,18.0
O20,27.0
O21,33.0
O22,32.0
O23,12.0
O24,35.0
O25,15.0
O26,18.0
O27,18.0
O28,18.0
O29,39.0
O30,18.0
O31,12.0
O32,18.0
O33,18.0
O34,43.0
O35,12.0
O36,12.0
O37,12.0
O38,12.0
O39,21.0
O40,46.0
O41,33.0
O42,32.0
O43,15.0
O44,15.0
O45,21.0
O46,21.0
O47,15.0
O48,18.0
O49,15.0
O50,21.0
O51,15.0
O52,18.0
O53,15.0
O54,32.0
O55,18.0
O56,18.0
O57,27.0
O58,18.0
O59,18.0
O60,21.0
O61,18.0
O62,27.0
O63,18.0
O64,28.0
O65,23.0
O66,24.0
O67,23.0
O68,21.0
O69,23.0
O70,21.0
O71,21.0
O72,25.0
O73,21.0
O74,23.0
O75,22.0
O76,28.0
O77,28.0
O78,28.0
O79,23.0
O80,21.0
O81,32.0
O82,28.0
O83,24.0
O84,28.0
O85,26.0
O86,24.0
O87,28.0
O88,28.0
O89,26.0
O90,34.0
O91,31.0
O92,32.0
O93,32.0
O94,26.0
O95,28.0
O96,33.0
O97,32.0
O98,31.0
O99,34.0
O100,27.0
O101,37.0
O102,35.0
O103,36.0
O104,32.0
O105,30.0
O106,23.0
O107,33.0
O108,23.0
O109,21.0
O110,29.0
O111,21.0
O112,28.0
O113,32.0
O114,34.0
O115,27.0
O116,31.0
O117,29.0
O118,28.0
O119,29.0
O120,29.0
O121,30.0
O122,29.0
O123,36.0
O124,26.0
O125,32.0
O126,40.0
O127,24.0
O128,27.0
O129,33.0
O130,26.0
O131,28.0
O132,33.0
O133,25.0
O134,32.0
O135,33.0
O136,45.0
O137,35.0
O138,34.0
O139,33.0
O140,35.0
O141,38.0
O142,36.0
O143,38.0
O144,37.0
O145,37.0
O146,35.0
O147,36.0
O148,35.0
O149,40.0
O150,36.0
O151,39.0
O152,38.0
O153,39.0
O154,37.0
O155,37.0
O156,37.0
O157,38.0
O158,39.0
O159,40.0
O160,45.0
O161,41.0
O162,45.0
O163,42.0
O164,39.0
O165,42.0
O166,42.0
O167,42.0
O168,46.0
O169,43.0
O170,47.0
O171,41.0
O172,41.0
O173,41.0
O174,42.0
O175,41.0
O176,48.0
O177,43.0
O178,42.0
O179,40.0
O180,43.0
O181,42.0
O182,42.0
O183,44.0
O184,44.0
O185,46.0
O186,43.0
O187,42.0
O188,48.0
O189,45.0
O190,48.0
O191,47.0
O192,46.0
O193,47.0
O194,47.0
