order,x
O1,42.0
O2,42.0
O3,23.0
O4,9.0
O5,10.0
O6,9.0
O7,9.0
O8,9.0
O9,10.0
O10,15.0
O11,28.0
O12,15.0
O13,15.0
O14,18.0
O15,36.0
O16,15.0
O17,29.0
O18,42.0
O19,18.0
O20,30.0
O21,27.0
O22,18.0
O23,6.0
O24,22.0
O25,28.0
O26,12.0
O27,12.0
O28,24.0
O29,15.0
O30,15.0
O31,23.0
O32,6.0
O33,24.0
O34,30.0
O35,18.0
O36,15.0
O37,15.0
O38,9.0
O39,15.0
O40,30.0
O41,9.0
O42,22.0
O43,9.0
O44,8.0
O45,12.0
O46,18.0
O47,22.0
O48,12.0
O49,7.0
O50,6.0
O51,15.0
O52,15.0
O53,6.0
O54,9.0
O55,12.0
O56,22.0
O57,23.0
O58,9.0
O59,9.0
O60,21.0
O61,27.0
O62,15.0
O63,12.0
O64,18.0
O65,23.0
O66,26.0
O67,21.0
O68,12.0
O69,29.0
O70,15.0
O71,18.0
O72,15.0
O73,21.0
O74,30.0
O75,25.0
O76,15.0
O77,15.0
O78,18.0
O79,23.0
O80,18.0
O81,23.0
O82,21.0
O83,27.0
O84,15.0
O85,24.0
O86,15.0
O87,22.0
O88,15.0
O89,21.0
O90,15.0
O91,34.0
O92,25.0
O93,18.0
O94,30.0
O95,28.0
O96,18.0
O97,33.0
O98,32.0
O99,23.0
O100,30.0
O101,21.0
O102,15.0
O103,21.0
O104,22.0
O105,24.0
O106,18.0
O107,18.0
O108,30.0
O109,18.0
O110,18.0
O111,27.0
O112,18.0
O113,30.0
O114,25.0
O115,21.0
O116,21.0
O117,23.0
O118,30.0
O119,24.0
O120,21.0
O121,22.0
O122,21.0
O123,24.0
O124,21.0
O125,23.0
O126,27.0
O127,21.0
O128,27.0
O129,24.0
O130,33.0
O131,26.0
O132,27.0
O133,30.0
O134,31.0
O135,29.0
O136,24.0
O137,24.0
O138,28.0
O139,33.0
O140,29.0
O141,30.0
O142,27.0
O143,27.0
O144,27.0
O145,27.0
O146,33.0
O147,31.0
O148,28.0
O149,28.0
O150,30.0
O151,32.0
O152,36.0
O153,32.0
O154,36.0
O155,30.0
O156,30.0
O157,34.0
O158,31.0
O159,31.0
O160,30.0
O161,33.0
O162,38.0
O163,32.0
O164,30.0
O165,32.0
O166,30.0
O167,31.0
O168,33.0
O169,36.0
O170,31.0
O171,30.0
O172,34.0
O173,39.0
O174,37.0
O175,33.0
O176,31.0
O177,37.0
O178,38.0
O179,33.0
O180,33.0
O181,33.0
O182,40.0
O183,39.0
O184,38.0
O185,37.0
O186,31.0
O187,40.0
O188,36.0
O189,42.0
O190,39.0
O191,41.0
O192,42.0
O193,43.0
O194,39.0
O195,42.0
O196,42.0
O197,42.0
O198,45.0
O199,42.0
O200,42.0
O201,42.0
O202,42.0
O203,42.0
O204,45.0
O205,45.0
O206,45.0
O207,48.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
M38,-1.0
M39,-1.0
M40,-1.0
M41,-1.0
M42,-1.0
M43,-1.0
M44,-1.0
M45,-1.0
M46,-1.0
M47,-1.0
M48,-1.0
M49,-1.0
M50,-1.0
