order,x
O1,16.0
O2,27.0
O3,22.0
O4,15.0
O5,9.0
O6,30.0
O7,45.0
O8,25.0
O9,22.0
O10,12.0
O11,33.0
O12,12.0
O13,12.0
O14,26.0
O15,21.0
O16,6.0
O17,28.0
O18,12.0
O19,12.0
O20,23.0
O21,12.0
O22,15.0
O23,19.0
O24,19.0
O25,16.0
O26,12.0
O27,28.0
O28,6.0
O29,33.0
O30,19.0
O31,9.0
O32,8.0
O33,9.0
O34,8.0
O35,16.0
O36,19.0
O37,23.0
O38,6.0
O39,12.0
O40,15.0
O41,9.0
O42,9.0
O43,6.0
O44,12.0
O45,25.0
O46,25.0
O47,13.0
O48,24.0
O49,27.0
O50,9.0
O51,13.0
O52,19.0
O53,25.0
O54,12.0
O55,18.0
O56,12.0
O57,12.0
O58,18.0
O59,25.0
O60,16.0
O61,12.0
O62,18.0
O63,12.0
O64,19.0
O65,21.0
O66,9.0
O67,9.0
O68,9.0
O69,18.0
O70,12.0
O71,17.0
O72,17.0
O73,9.0
O74,36.0
O75,12.0
O76,11.0
O77,19.0
O78,15.0
O79,12.0
O80,19.0
O81,12.0
O82,19.0
O83,28.0
O84,28.0
O85,30.0
O86,12.0
O87,15.0
O88,21.0
O89,19.0
O90,20.0
O91,16.0
O92,19.0
O93,19.0
O94,17.0
O95,19.0
O96,19.0
O97,29.0
O98,21.0
O99,21.0
O100,24.0
O101,22.0
O102,18.0
O103,24.0
O104,25.0
O105,26.0
O106,36.0
O107,26.0
O108,24.0
O109,27.0
O110,29.0
O111,20.0
O112,45.0
O113,44.0
O114,42.0
O115,42.0
O116,28.0
O117,39.0
O118,28.0
O119,29.0
O120,35.0
O121,44.0
O122,29.0
O123,28.0
O124,22.0
O125,28.0
O126,24.0
O127,25.0
O128,24.0
O129,39.0
O130,29.0
O131,23.0
O132,29.0
O133,31.0
O134,30.0
O135,35.0
O136,33.0
O137,32.0
O138,30.0
O139,30.0
O140,30.0
O141,37.0
O142,33.0
O143,31.0
O144,27.0
O145,32.0
O146,30.0
O147,33.0
O148,32.0
O149,32.0
O150,26.0
O151,35.0
O152,33.0
O153,36.0
O154,34.0
O155,34.0
O156,34.0
O157,37.0
O158,43.0
O159,43.0
O160,37.0
O161,44.0
O162,44.0
O163,44.0
O164,37.0
O165,36.0
O166,38.0
O167,37.0
O168,34.0
O169,36.0
O170,38.0
O171,39.0
O172,42.0
O173,36.0
O174,36.0
O175,37.0
O176,38.0
O177,41.0
O178,38.0
O179,38.0
O180,35.0
O181,41.0
O182,39.0
O183,38.0
O184,36.0
O185,43.0
O186,44.0
O187,41.0
O188,43.0
O189,46.0
O190,42.0
O191,44.0
O192,39.0
O193,38.0
O194,44.0
O195,43.0
O196,43.0
O197,45.0
O198,47.0
O199,42.0
O200,47.0
O201,52.0
O202,49.0
O203,46.0
O204,41.0
O205,38.0
O206,48.0
O207,49.0
O208,47.0
O209,47.0
O210,41.0
O211,47.0
O212,43.0
O213,48.0
O214,49.0
O215,51.0
O216,48.0
O217,49.0
O218,49.0
O219,48.0
O220,43.0
O221,51.0
O222,51.0
O223,48.0
O224,50.0
O225,50.0
O226,50.0
O227,50.0
O228,52.0
O229,49.0
O230,48.0
O231,50.0
O232,54.0
O233,49.0
O234,51.0
O235,52.0
O236,50.0
O237,48.0
O238,50.0
O239,52.0
