order,x
O1,15.0
O2,13.0
O3,16.0
O4,17.0
O5,42.0
O6,21.0
O7,6.0
O8,12.0
O9,6.0
O10,16.0
O11,18.0
O12,12.0
O13,30.0
O14,15.0
O15,6.0
O16,33.0
O17,18.0
O18,16.0
O19,12.0
O20,15.0
O21,9.0
O22,23.0
O23,30.0
O24,23.0
O25,12.0
O26,26.0
O27,23.0
O28,15.0
O29,24.0
O30,12.0
O31,6.0
O32,6.0
O33,12.0
O34,6.0
O35,10.0
O36,12.0
O37,29.0
O38,19.0
O39,9.0
O40,9.0
O41,21.0
O42,22.0
O43,21.0
O44,12.0
O45,35.0
O46,12.0
O47,16.0
O48,26.0
O49,15.0
O50,9.0
O51,15.0
O52,21.0
O53,9.0
O54,27.0
O55,25.0
O56,21.0
O57,15.0
O58,30.0
O59,21.0
O60,26.0
O61,12.0
O62,23.0
O63,12.0
O64,12.0
O65,32.0
O66,15.0
O67,19.0
O68,12.0
O69,16.0
O70,23.0
O71,28.0
O72,16.0
O73,17.0
O74,21.0
O75,18.0
O76,19.0
O77,18.0
O78,24.0
O79,24.0
O80,24.0
O81,21.0
O82,33.0
O83,26.0
O84,21.0
O85,21.0
O86,24.0
O87,28.0
O88,24.0
O89,27.0
O90,27.0
O91,31.0
O92,26.0
O93,23.0
O94,24.0
O95,26.0
O96,28.0
O97,26.0
O98,25.0
O99,26.0
O100,28.0
O101,33.0
O102,25.0
O103,29.0
O104,32.0
O105,28.0
O106,32.0
O107,31.0
O108,30.0
O109,32.0
O110,34.0
O111,30.0
O112,32.0
O113,31.0
O114,29.0
O115,31.0
O116,34.0
O117,40.0
O118,39.0
O119,40.0
O120,34.0
O121,33.0
O122,33.0
O123,34.0
O124,37.0
O125,34.0
O126,37.0
O127,33.0
O128,36.0
O129,35.0
O130,34.0
O131,39.0
O132,34.0
O133,35.0
O134,35.0
O135,39.0
O136,37.0
O137,36.0
O138,37.0
O139,39.0
O140,39.0
O141,38.0
O142,39.0
O143,38.0
O144,41.0
O145,40.0
O146,39.0
O147,37.0
O148,37.0
O149,42.0
O150,40.0
O151,41.0
O152,36.0
O153,45.0
O154,42.0
O155,45.0
O156,40.0
O157,41.0
O158,43.0
O159,42.0
O160,40.0
O161,44.0
O162,44.0
O163,40.0
O164,48.0
O165,42.0
O166,43.0
O167,43.0
O168,48.0
O169,48.0
O170,43.0
O171,48.0
O172,47.0
O173,47.0
O174,44.0
O175,46.0
O176,47.0
O177,47.0
O178,45.0
O179,45.0
