order,x
O1,16.0
O2,22.0
O3,23.0
O4,22.0
O5,27.0
O6,26.0
O7,27.0
O8,12.0
O9,27.0
O10,21.0
O11,19.0
O12,18.0
O13,22.0
O14,12.0
O15,12.0
O16,20.0
O17,20.0
O18,15.0
O19,33.0
O20,21.0
O21,6.0
O22,19.0
O23,31.0
O24,32.0
O25,33.0
O26,22.0
O27,6.0
O28,8.0
O29,25.0
O30,12.0
O31,20.0
O32,12.0
O33,9.0
O34,12.0
O35,12.0
O36,23.0
O37,22.0
O38,15.0
O39,17.0
O40,21.0
O41,10.0
O42,6.0
O43,9.0
O44,7.0
O45,15.0
O46,24.0
O47,24.0
O48,12.0
O49,6.0
O50,18.0
O51,10.0
O52,25.0
O53,9.0
O54,18.0
O55,9.0
O56,19.0
O57,12.0
O58,23.0
O59,9.0
O60,9.0
O61,15.0
O62,23.0
O63,12.0
O64,19.0
O65,12.0
O66,17.0
O67,17.0
O68,15.0
O69,20.0
O70,18.0
O71,32.0
O72,21.0
O73,23.0
O74,12.0
O75,13.0
O76,17.0
O77,26.0
O78,19.0
O79,16.0
O80,19.0
O81,25.0
O82,30.0
O83,19.0
O84,19.0
O85,21.0
O86,18.0
O87,40.0
O88,24.0
O89,24.0
O90,33.0
O91,24.0
O92,24.0
O93,30.0
O94,25.0
O95,31.0
O96,30.0
O97,30.0
O98,26.0
O99,30.0
O100,24.0
O101,30.0
O102,26.0
O103,25.0
O104,30.0
O105,25.0
O106,36.0
O107,36.0
O108,36.0
O109,36.0
O110,36.0
O111,39.0
O112,39.0
O113,39.0
O114,39.0
O115,36.0
O116,40.0
O117,44.0
O118,39.0
O119,39.0
O120,39.0
O121,40.0
O122,46.0
O123,45.0
O124,44.0
O125,44.0
O126,44.0
O127,45.0
O128,45.0
O129,47.0
O130,48.0
O131,48.0
O132,48.0
O133,42.0
O134,45.0
O135,48.0
O136,49.0
O137,48.0
O138,51.0
O139,47.0
O140,36.0
O141,36.0
O142,36.0
O143,39.0
O144,36.0
O145,39.0
O146,39.0
O147,42.0
O148,39.0
O149,39.0
O150,41.0
O151,39.0
O152,39.0
O153,39.0
O154,44.0
O155,44.0
O156,42.0
O157,42.0
O158,45.0
O159,43.0
O160,47.0
O161,44.0
O162,46.0
O163,51.0
O164,44.0
O165,43.0
O166,42.0
O167,45.0
O168,49.0
O169,50.0
O170,48.0
O171,50.0
O172,44.0
O173,47.0
O174,47.0
O175,49.0
O176,48.0
O177,44.0
O178,45.0
O179,44.0
O180,43.0
O181,49.0
O182,45.0
O183,49.0
O184,49.0
O185,47.0
O186,49.0
O187,49.0
O188,51.0
