order,x
O1,30.0
O2,28.0
O3,6.0
O4,12.0
O5,15.0
O6,26.0
O7,27.0
O8,15.0
O9,15.0
O10,29.0
O11,0.0
O12,42.0
O13,12.0
O14,18.0
O15,31.0
O16,18.0
O17,23.0
O18,36.0
O19,12.0
O20,12.0
O21,15.0
O22,33.0
O23,21.0
O24,21.0
O25,12.0
O26,12.0
O27,41.0
O28,26.0
O29,6.0
O30,12.0
O31,7.0
O32,32.0
O33,15.0
O34,15.0
O35,12.0
O36,15.0
O37,33.0
O38,8.0
O39,10.0
O40,43.0
O41,24.0
O42,27.0
O43,12.0
O44,7.0
O45,12.0
O46,8.0
O47,12.0
O48,31.0
O49,28.0
O50,35.0
O51,21.0
O52,22.0
O53,15.0
O54,15.0
O55,9.0
O56,15.0
O57,19.0
O58,24.0
O59,12.0
O60,12.0
O61,26.0
O62,18.0
O63,15.0
O64,12.0
O65,27.0
O66,32.0
O67,12.0
O68,12.0
O69,38.0
O70,21.0
O71,12.0
O72,20.0
O73,19.0
O74,18.0
O75,18.0
O76,19.0
O77,22.0
O78,15.0
O79,17.0
O80,16.0
O81,17.0
O82,15.0
O83,18.0
O84,32.0
O85,18.0
O86,22.0
O87,23.0
O88,25.0
O89,18.0
O90,18.0
O91,22.0
O92,29.0
O93,24.0
O94,33.0
O95,32.0
O96,35.0
O97,22.0
O98,22.0
O99,39.0
O100,23.0
O101,25.0
O102,21.0
O103,27.0
O104,34.0
O105,35.0
O106,42.0
O107,25.0
O108,27.0
O109,28.0
O110,23.0
O111,24.0
O112,23.0
O113,22.0
O114,29.0
O115,33.0
O116,31.0
O117,29.0
O118,25.0
O119,26.0
O120,29.0
O121,29.0
O122,36.0
O123,25.0
O124,26.0
O125,32.0
O126,33.0
O127,27.0
O128,31.0
O129,31.0
O130,29.0
O131,28.0
O132,38.0
O133,29.0
O134,39.0
O135,42.0
O136,38.0
O137,33.0
O138,35.0
O139,36.0
O140,31.0
O141,36.0
O142,38.0
O143,36.0
O144,34.0
O145,0.0
O146,39.0
O147,33.0
O148,37.0
O149,39.0
O150,40.0
O151,39.0
O152,38.0
O153,36.0
O154,38.0
O155,38.0
O156,38.0
O157,37.0
O158,38.0
O159,38.0
O160,38.0
O161,39.0
O162,42.0
O163,40.0
O164,43.0
O165,42.0
O166,41.0
O167,42.0
O168,41.0
O169,44.0
O170,41.0
O171,41.0
O172,41.0
O173,41.0
O174,47.0
O175,43.0
O176,44.0
O177,46.0
O178,46.0
O179,46.0
O180,45.0
O181,41.0
O182,46.0
O183,48.0
O184,48.0
O185,46.0
O186,43.0
O187,44.0
O188,46.0
O189,46.0
O190,45.0
O191,46.0
O192,46.0
O193,45.0
O194,47.0
O195,48.0
O196,48.0
O197,45.0
O198,46.0
O199,49.0
O200,51.0
O201,48.0
O202,44.0
O203,50.0
O204,52.0
O205,52.0
O206,50.0
O207,51.0
O208,50.0
O209,51.0
O210,51.0
O211,49.0
O212,51.0
O213,53.0
