order,x
O1,22.0
O2,27.0
O3,18.0
O4,25.0
O5,12.0
O6,21.0
O7,21.0
O8,15.0
O9,24.0
O10,29.0
O11,27.0
O12,21.0
O13,12.0
O14,19.0
O15,15.0
O16,24.0
O17,15.0
O18,20.0
O19,26.0
O20,15.0
O21,9.0
O22,12.0
O23,12.0
O24,30.0
O25,36.0
O26,15.0
O27,24.0
O28,10.0
O29,9.0
O30,25.0
O31,15.0
O32,6.0
O33,12.0
O34,23.0
O35,9.0
O36,25.0
O37,30.0
O38,21.0
O39,25.0
O40,18.0
O41,18.0
O42,11.0
O43,24.0
O44,8.0
O45,9.0
O46,9.0
O47,12.0
O48,17.0
O49,20.0
O50,15.0
O51,9.0
O52,12.0
O53,12.0
O54,15.0
O55,21.0
O56,21.0
O57,27.0
O58,12.0
O59,12.0
O60,15.0
O61,18.0
O62,15.0
O63,29.0
O64,24.0
O65,15.0
O66,21.0
O67,12.0
O68,35.0
O69,36.0
O70,22.0
O71,36.0
O72,39.0
O73,38.0
O74,39.0
O75,39.0
O76,36.0
O77,38.0
O78,34.0
O79,35.0
O80,38.0
O81,38.0
O82,42.0
O83,39.0
O84,39.0
O85,40.0
O86,30.0
O87,40.0
O88,26.0
O89,37.0
O90,26.0
O91,24.0
O92,36.0
O93,30.0
O94,27.0
O95,28.0
O96,37.0
O97,31.0
O98,27.0
O99,31.0
O100,32.0
O101,29.0
O102,32.0
O103,29.0
O104,29.0
O105,32.0
O106,32.0
O107,29.0
O108,29.0
O109,33.0
O110,30.0
O111,32.0
O112,27.0
O113,32.0
O114,33.0
O115,33.0
O116,33.0
O117,35.0
O118,34.0
O119,33.0
O120,35.0
O121,47.0
O122,46.0
O123,33.0
O124,48.0
O125,48.0
O126,51.0
O127,48.0
O128,42.0
O129,45.0
O130,37.0
O131,40.0
O132,38.0
O133,41.0
O134,45.0
O135,38.0
O136,39.0
O137,39.0
O138,42.0
O139,40.0
O140,43.0
O141,44.0
O142,43.0
O143,43.0
O144,41.0
O145,44.0
O146,43.0
O147,45.0
O148,44.0
O149,43.0
O150,45.0
O151,47.0
O152,48.0
O153,46.0
O154,48.0
O155,46.0
O156,45.0
O157,51.0
O158,48.0
O159,47.0
O160,49.0
O161,43.0
O162,47.0
O163,49.0
O164,45.0
O165,47.0
O166,50.0
O167,50.0
O168,51.0
O169,49.0
O170,50.0
O171,49.0
O172,50.0
