order,x
O1,15.0
O2,8.0
O3,15.0
O4,21.0
O5,21.0
O6,20.0
O7,9.0
O8,15.0
O9,12.0
O10,15.0
O11,21.0
O12,9.0
O13,18.0
O14,21.0
O15,6.0
O16,32.0
O17,30.0
O18,23.0
O19,11.0
O20,30.0
O21,15.0
O22,27.0
O23,10.0
O24,19.0
O25,15.0
O26,32.0
O27,30.0
O28,15.0
O29,30.0
O30,24.0
O31,15.0
O32,15.0
O33,15.0
O34,22.0
O35,15.0
O36,36.0
O37,22.0
O38,12.0
O39,33.0
O40,12.0
O41,28.0
O42,15.0
O43,21.0
O44,29.0
O45,15.0
O46,37.0
O47,15.0
O48,15.0
O49,15.0
O50,15.0
O51,28.0
O52,20.0
O53,24.0
O54,15.0
O55,15.0
O56,15.0
O57,15.0
O58,15.0
O59,15.0
O60,20.0
O61,35.0
O62,19.0
O63,15.0
O64,15.0
O65,23.0
O66,18.0
O67,20.0
O68,28.0
O69,23.0
O70,29.0
O71,23.0
O72,24.0
O73,21.0
O74,23.0
O75,20.0
O76,21.0
O77,22.0
O78,30.0
O79,21.0
O80,23.0
O81,23.0
O82,25.0
O83,26.0
O84,29.0
O85,30.0
O86,25.0
O87,27.0
O88,26.0
O89,27.0
O90,25.0
O91,26.0
O92,26.0
O93,31.0
O94,26.0
O95,33.0
O96,29.0
O97,27.0
O98,27.0
O99,30.0
O100,32.0
O101,28.0
O102,35.0
O103,36.0
O104,35.0
O105,35.0
O106,36.0
O107,31.0
O108,35.0
O109,33.0
O110,32.0
O111,30.0
O112,32.0
O113,32.0
O114,34.0
O115,34.0
O116,32.0
O117,35.0
O118,32.0
O119,37.0
O120,32.0
O121,31.0
O122,47.0
O123,39.0
O124,37.0
O125,33.0
O126,37.0
O127,36.0
O128,38.0
O129,37.0
O130,37.0
O131,37.0
O132,37.0
O133,37.0
O134,37.0
O135,39.0
O136,38.0
O137,41.0
O138,36.0
O139,41.0
O140,41.0
O141,40.0
O142,40.0
O143,37.0
O144,38.0
O145,40.0
O146,41.0
O147,38.0
O148,40.0
O149,43.0
O150,41.0
O151,45.0
O152,41.0
O153,41.0
O154,43.0
O155,43.0
O156,43.0
O157,48.0
O158,47.0
O159,47.0
O160,44.0
O161,47.0
O162,43.0
O163,41.0
O164,44.0
O165,43.0
O166,44.0
O167,42.0
O168,43.0
O169,44.0
O170,42.0
O171,44.0
O172,45.0
O173,42.0
O174,44.0
O175,45.0
O176,48.0
O177,47.0
O178,46.0
O179,46.0
O180,46.0
O181,48.0
O182,48.0
O183,49.0
O184,47.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
