order,x
O1,15.0
O2,19.0
O3,36.0
O4,33.0
O5,9.0
O6,30.0
O7,30.0
O8,12.0
O9,12.0
O10,20.0
O11,15.0
O12,27.0
O13,34.0
O14,24.0
O15,9.0
O16,26.0
O17,12.0
O18,15.0
O19,15.0
O20,24.0
O21,12.0
O22,18.0
O23,25.0
O24,9.0
O25,10.0
O26,10.0
O27,15.0
O28,12.0
O29,18.0
O30,15.0
O31,12.0
O32,22.0
O33,15.0
O34,15.0
O35,9.0
O36,15.0
O37,12.0
O38,18.0
O39,12.0
O40,30.0
O41,12.0
O42,35.0
O43,12.0
O44,18.0
O45,12.0
O46,15.0
O47,21.0
O48,15.0
O49,27.0
O50,19.0
O51,12.0
O52,24.0
O53,24.0
O54,22.0
O55,24.0
O56,18.0
O57,26.0
O58,21.0
O59,18.0
O60,15.0
O61,15.0
O62,27.0
O63,15.0
O64,21.0
O65,18.0
O66,23.0
O67,18.0
O68,19.0
O69,36.0
O70,21.0
O71,46.0
O72,22.0
O73,26.0
O74,22.0
O75,20.0
O76,25.0
O77,19.0
O78,27.0
O79,24.0
O80,24.0
O81,31.0
O82,25.0
O83,21.0
O84,23.0
O85,35.0
O86,21.0
O87,22.0
O88,25.0
O89,22.0
O90,26.0
O91,21.0
O92,39.0
O93,30.0
O94,29.0
O95,30.0
O96,30.0
O97,28.0
O98,28.0
O99,30.0
O100,31.0
O101,31.0
O102,32.0
O103,33.0
O104,29.0
O105,31.0
O106,29.0
O107,30.0
O108,31.0
O109,31.0
O110,29.0
O111,33.0
O112,29.0
O113,30.0
O114,32.0
O115,38.0
O116,32.0
O117,32.0
O118,35.0
O119,33.0
O120,36.0
O121,36.0
O122,36.0
O123,35.0
O124,37.0
O125,39.0
O126,35.0
O127,36.0
O128,37.0
O129,36.0
O130,36.0
O131,37.0
O132,39.0
O133,38.0
O134,39.0
O135,38.0
O136,38.0
O137,37.0
O138,38.0
O139,43.0
O140,39.0
O141,38.0
O142,38.0
O143,42.0
O144,42.0
O145,42.0
O146,41.0
O147,42.0
O148,41.0
O149,42.0
O150,42.0
O151,40.0
O152,43.0
O153,43.0
O154,42.0
O155,43.0
O156,45.0
O157,43.0
O158,43.0
O159,41.0
O160,43.0
O161,42.0
O162,43.0
O163,41.0
O164,45.0
O165,44.0
O166,45.0
O167,48.0
O168,45.0
O169,45.0
O170,47.0
O171,49.0
O172,48.0
O173,46.0
O174,44.0
O175,48.0
O176,47.0
O177,47.0
O178,45.0
O179,48.0
O180,47.0
O181,48.0
O182,54.0
