order,x
O1,24.0
O2,6.0
O3,9.0
O4,22.0
O5,15.0
O6,7.0
O7,18.0
O8,9.0
O9,10.0
O10,18.0
O11,19.0
O12,21.0
O13,9.0
O14,12.0
O15,6.0
O16,15.0
O17,15.0
O18,15.0
O19,31.0
O20,32.0
O21,20.0
O22,12.0
O23,15.0
O24,6.0
O25,7.0
O26,9.0
O27,7.0
O28,7.0
O29,18.0
O30,12.0
O31,12.0
O32,12.0
O33,15.0
O34,6.0
O35,10.0
O36,12.0
O37,21.0
O38,15.0
O39,30.0
O40,26.0
O41,25.0
O42,9.0
O43,24.0
O44,20.0
O45,25.0
O46,20.0
O47,15.0
O48,12.0
O49,18.0
O50,17.0
O51,19.0
O52,12.0
O53,17.0
O54,12.0
O55,15.0
O56,23.0
O57,27.0
O58,19.0
O59,24.0
O60,28.0
O61,12.0
O62,31.0
O63,29.0
O64,22.0
O65,15.0
O66,15.0
O67,15.0
O68,19.0
O69,29.0
O70,18.0
O71,18.0
O72,31.0
O73,22.0
O74,23.0
O75,22.0
O76,27.0
O77,24.0
O78,22.0
O79,25.0
O80,21.0
O81,24.0
O82,23.0
O83,25.0
O84,25.0
O85,30.0
O86,22.0
O87,21.0
O88,25.0
O89,22.0
O90,26.0
O91,31.0
O92,38.0
O93,37.0
O94,33.0
O95,25.0
O96,30.0
O97,30.0
O98,33.0
O99,31.0
O100,28.0
O101,29.0
O102,32.0
O103,31.0
O104,28.0
O105,29.0
O106,36.0
O107,39.0
O108,31.0
O109,30.0
O110,32.0
O111,32.0
O112,30.0
O113,39.0
O114,45.0
O115,38.0
O116,33.0
O117,45.0
O118,34.0
O119,34.0
O120,37.0
O121,32.0
O122,36.0
O123,39.0
O124,39.0
O125,36.0
O126,34.0
O127,40.0
O128,33.0
O129,37.0
O130,35.0
O131,32.0
O132,42.0
O133,40.0
O134,41.0
O135,37.0
O136,37.0
O137,40.0
O138,38.0
O139,42.0
O140,40.0
O141,41.0
O142,38.0
O143,40.0
O144,37.0
O145,40.0
O146,39.0
O147,36.0
O148,40.0
O149,45.0
O150,39.0
O151,44.0
O152,43.0
O153,46.0
O154,43.0
O155,44.0
O156,39.0
O157,42.0
O158,45.0
O159,44.0
O160,43.0
O161,45.0
O162,45.0
O163,46.0
O164,48.0
O165,47.0
O166,46.0
O167,48.0
O168,48.0
O169,46.0
O170,46.0
O171,45.0
O172,48.0
O173,48.0
O174,44.0
O175,46.0
O176,48.0
O177,45.0
O178,49.0
O179,45.0
O180,47.0
O181,45.0
O182,48.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
