order,x
O1,30.0
O2,6.0
O3,24.0
O4,15.0
O5,20.0
O6,9.0
O7,26.0
O8,10.0
O9,29.0
O10,33.0
O11,30.0
O12,18.0
O13,12.0
O14,29.0
O15,27.0
O16,29.0
O17,20.0
O18,31.0
O19,18.0
O20,33.0
O21,10.0
O22,12.0
O23,18.0
O24,18.0
O25,15.0
O26,26.0
O27,15.0
O28,37.0
O29,32.0
O30,33.0
O31,18.0
O32,21.0
O33,15.0
O34,24.0
O35,22.0
O36,15.0
O37,12.0
O38,12.0
O39,34.0
O40,15.0
O41,23.0
O42,18.0
O43,9.0
O44,23.0
O45,9.0
O46,15.0
O47,33.0
O48,9.0
O49,34.0
O50,33.0
O51,12.0
O52,9.0
O53,23.0
O54,21.0
O55,25.0
O56,15.0
O57,6.0
O58,27.0
O59,15.0
O60,26.0
O61,18.0
O62,36.0
O63,15.0
O64,22.0
O65,35.0
O66,9.0
O67,15.0
O68,25.0
O69,37.0
O70,35.0
O71,9.0
O72,22.0
O73,28.0
O74,24.0
O75,23.0
O76,16.0
O77,31.0
O78,15.0
O79,36.0
O80,21.0
O81,9.0
O82,12.0
O83,9.0
O84,12.0
O85,16.0
O86,15.0
O87,25.0
O88,24.0
O89,18.0
O90,22.0
O91,20.0
O92,23.0
O93,25.0
O94,24.0
O95,19.0
O96,32.0
O97,33.0
O98,25.0
O99,24.0
O100,37.0
O101,27.0
O102,33.0
O103,24.0
O104,24.0
O105,21.0
O106,34.0
O107,25.0
O108,25.0
O109,33.0
O110,25.0
O111,23.0
O112,25.0
O113,23.0
O114,26.0
O115,21.0
O116,22.0
O117,21.0
O118,36.0
O119,29.0
O120,28.0
O121,29.0
O122,32.0
O123,27.0
O124,30.0
O125,29.0
O126,33.0
O127,30.0
O128,32.0
O129,27.0
O130,27.0
O131,36.0
O132,30.0
O133,28.0
O134,28.0
O135,34.0
O136,29.0
O137,27.0
O138,30.0
O139,35.0
O140,30.0
O141,36.0
O142,33.0
O143,32.0
O144,31.0
O145,38.0
O146,35.0
O147,36.0
O148,34.0
O149,35.0
O150,36.0
O151,35.0
O152,45.0
O153,48.0
O154,46.0
O155,42.0
O156,42.0
O157,42.0
O158,45.0
O159,50.0
O160,39.0
O161,37.0
O162,37.0
O163,36.0
O164,45.0
O165,37.0
O166,36.0
O167,41.0
O168,38.0
O169,45.0
O170,37.0
O171,40.0
O172,40.0
O173,39.0
O174,39.0
O175,39.0
O176,39.0
O177,39.0
O178,40.0
O179,39.0
O180,40.0
O181,45.0
O182,39.0
O183,44.0
O184,45.0
O185,45.0
O186,46.0
O187,42.0
O188,43.0
O189,48.0
O190,43.0
O191,51.0
O192,42.0
O193,48.0
O194,45.0
O195,45.0
O196,46.0
O197,45.0
O198,48.0
O199,45.0
O200,48.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
