order,x
O1,25.0
O2,24.0
O3,26.0
O4,31.0
O5,15.0
O6,21.0
O7,15.0
O8,22.0
O9,6.0
O10,27.0
O11,7.0
O12,6.0
O13,15.0
O14,30.0
O15,18.0
O16,8.0
O17,15.0
O18,7.0
O19,18.0
O20,32.0
O21,15.0
O22,15.0
O23,6.0
O24,9.0
O25,21.0
O26,12.0
O27,12.0
O28,26.0
O29,8.0
O30,19.0
O31,25.0
O32,12.0
O33,33.0
O34,19.0
O35,18.0
O36,49.0
O37,9.0
O38,15.0
O39,22.0
O40,24.0
O41,21.0
O42,27.0
O43,24.0
O44,15.0
O45,15.0
O46,12.0
O47,21.0
O48,18.0
O49,12.0
O50,12.0
O51,15.0
O52,30.0
O53,33.0
O54,19.0
O55,15.0
O56,21.0
O57,15.0
O58,18.0
O59,18.0
O60,20.0
O61,27.0
O62,29.0
O63,25.0
O64,18.0
O65,30.0
O66,22.0
O67,23.0
O68,23.0
O69,24.0
O70,25.0
O71,24.0
O72,21.0
O73,15.0
O74,27.0
O75,18.0
O76,20.0
O77,15.0
O78,27.0
O79,32.0
O80,35.0
O81,22.0
O82,18.0
O83,29.0
O84,28.0
O85,28.0
O86,36.0
O87,26.0
O88,30.0
O89,25.0
O90,27.0
O91,27.0
O92,25.0
O93,25.0
O94,39.0
O95,32.0
O96,24.0
O97,21.0
O98,29.0
O99,30.0
O100,28.0
O101,31.0
O102,27.0
O103,32.0
O104,27.0
O105,28.0
O106,35.0
O107,29.0
O108,30.0
O109,28.0
O110,28.0
O111,33.0
O112,30.0
O113,33.0
O114,32.0
O115,22.0
O116,35.0
O117,36.0
O118,31.0
O119,36.0
O120,34.0
O121,36.0
O122,34.0
O123,31.0
O124,30.0
O125,33.0
O126,34.0
O127,34.0
O128,31.0
O129,32.0
O130,32.0
O131,32.0
O132,37.0
O133,35.0
O134,34.0
O135,41.0
O136,37.0
O137,34.0
O138,39.0
O139,37.0
O140,38.0
O141,38.0
O142,38.0
O143,37.0
O144,33.0
O145,39.0
O146,37.0
O147,38.0
O148,38.0
O149,37.0
O150,37.0
O151,38.0
O152,40.0
O153,36.0
O154,42.0
O155,40.0
O156,40.0
O157,42.0
O158,38.0
O159,45.0
O160,44.0
O161,40.0
O162,42.0
O163,40.0
O164,45.0
O165,44.0
O166,40.0
O167,44.0
O168,41.0
O169,41.0
O170,41.0
O171,42.0
O172,51.0
O173,42.0
O174,42.0
O175,45.0
O176,50.0
O177,47.0
O178,45.0
