order,x
O1,33.0
O2,21.0
O3,18.0
O4,30.0
O5,12.0
O6,27.0
O7,30.0
O8,21.0
O9,18.0
O10,9.0
O11,18.0
O12,18.0
O13,8.0
O14,12.0
O15,24.0
O16,15.0
O17,31.0
O18,18.0
O19,12.0
O20,30.0
O21,32.0
O22,12.0
O23,11.0
O24,15.0
O25,12.0
O26,12.0
O27,29.0
O28,9.0
O29,12.0
O30,22.0
O31,12.0
O32,25.0
O33,32.0
O34,9.0
O35,44.0
O36,30.0
O37,12.0
O38,32.0
O39,21.0
O40,12.0
O41,26.0
O42,23.0
O43,12.0
O44,15.0
O45,18.0
O46,22.0
O47,15.0
O48,38.0
O49,15.0
O50,15.0
O51,23.0
O52,15.0
O53,15.0
O54,15.0
O55,15.0
O56,18.0
O57,15.0
O58,18.0
O59,15.0
O60,15.0
O61,22.0
O62,18.0
O63,31.0
O64,18.0
O65,19.0
O66,18.0
O67,22.0
O68,23.0
O69,18.0
O70,18.0
O71,18.0
O72,23.0
O73,28.0
O74,21.0
O75,19.0
O76,19.0
O77,22.0
O78,25.0
O79,26.0
O80,22.0
O81,27.0
O82,26.0
O83,26.0
O84,33.0
O85,28.0
O86,25.0
O87,27.0
O88,21.0
O89,26.0
O90,22.0
O91,26.0
O92,24.0
O93,21.0
O94,34.0
O95,33.0
O96,23.0
O97,25.0
O98,37.0
O99,26.0
O100,28.0
O101,31.0
O102,31.0
O103,31.0
O104,28.0
O105,28.0
O106,36.0
O107,29.0
O108,29.0
O109,30.0
O110,30.0
O111,31.0
O112,36.0
O113,34.0
O114,32.0
O115,35.0
O116,35.0
O117,39.0
O118,34.0
O119,39.0
O120,38.0
O121,39.0
O122,39.0
O123,39.0
O124,39.0
O125,35.0
O126,34.0
O127,37.0
O128,36.0
O129,33.0
O130,34.0
O131,40.0
O132,35.0
O133,39.0
O134,39.0
O135,37.0
O136,37.0
O137,38.0
O138,34.0
O139,40.0
O140,43.0
O141,40.0
O142,41.0
O143,44.0
O144,38.0
O145,41.0
O146,43.0
O147,41.0
O148,40.0
O149,42.0
O150,45.0
O151,45.0
O152,44.0
O153,41.0
O154,45.0
O155,40.0
O156,40.0
O157,37.0
O158,42.0
O159,44.0
O160,41.0
O161,54.0
O162,41.0
O163,44.0
O164,43.0
O165,42.0
O166,43.0
O167,42.0
O168,45.0
O169,46.0
O170,47.0
O171,46.0
O172,45.0
O173,47.0
O174,48.0
O175,46.0
O176,46.0
O177,49.0
O178,51.0
O179,47.0
O180,49.0
O181,48.0
O182,48.0
O183,50.0
O184,50.0
O185,48.0
O186,46.0
O187,47.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
