order,x
O1,54.0
O2,12.0
O3,12.0
O4,27.0
O5,32.0
O6,9.0
O7,34.0
O8,15.0
O9,15.0
O10,37.0
O11,19.0
O12,25.0
O13,12.0
O14,33.0
O15,15.0
O16,10.0
O17,19.0
O18,12.0
O19,15.0
O20,28.0
O21,18.0
O22,18.0
O23,26.0
O24,18.0
O25,15.0
O26,9.0
O27,33.0
O28,27.0
O29,15.0
O30,15.0
O31,9.0
O32,15.0
O33,28.0
O34,15.0
O35,10.0
O36,18.0
O37,18.0
O38,15.0
O39,15.0
O40,28.0
O41,25.0
O42,35.0
O43,15.0
O44,15.0
O45,26.0
O46,15.0
O47,12.0
O48,15.0
O49,15.0
O50,26.0
O51,15.0
O52,15.0
O53,23.0
O54,9.0
O55,15.0
O56,23.0
O57,12.0
O58,33.0
O59,15.0
O60,12.0
O61,27.0
O62,20.0
O63,18.0
O64,18.0
O65,26.0
O66,33.0
O67,19.0
O68,24.0
O69,20.0
O70,25.0
O71,26.0
O72,36.0
O73,21.0
O74,27.0
O75,20.0
O76,21.0
O77,26.0
O78,18.0
O79,21.0
O80,35.0
O81,21.0
O82,27.0
O83,21.0
O84,22.0
O85,20.0
O86,20.0
O87,20.0
O88,22.0
O89,21.0
O90,33.0
O91,34.0
O92,27.0
O93,34.0
O94,36.0
O95,36.0
O96,28.0
O97,26.0
O98,26.0
O99,26.0
O100,25.0
O101,19.0
O102,39.0
O103,28.0
O104,31.0
O105,26.0
O106,31.0
O107,27.0
O108,21.0
O109,22.0
O110,36.0
O111,31.0
O112,30.0
O113,31.0
O114,31.0
O115,36.0
O116,32.0
O117,26.0
O118,31.0
O119,32.0
O120,32.0
O121,32.0
O122,31.0
O123,32.0
O124,33.0
O125,34.0
O126,28.0
O127,31.0
O128,39.0
O129,41.0
O130,45.0
O131,45.0
O132,40.0
O133,45.0
O134,39.0
O135,39.0
O136,45.0
O137,43.0
O138,45.0
O139,46.0
O140,45.0
O141,45.0
O142,45.0
O143,51.0
O144,46.0
O145,48.0
O146,50.0
O147,48.0
O148,51.0
O149,51.0
O150,48.0
O151,49.0
O152,47.0
O153,51.0
O154,54.0
O155,50.0
O156,50.0
O157,53.0
O158,36.0
O159,36.0
O160,37.0
O161,36.0
O162,39.0
O163,40.0
O164,39.0
O165,40.0
O166,44.0
O167,42.0
O168,39.0
O169,39.0
O170,42.0
O171,41.0
O172,41.0
O173,40.0
O174,39.0
O175,39.0
O176,39.0
O177,39.0
O178,40.0
O179,39.0
O180,41.0
O181,45.0
O182,46.0
O183,45.0
O184,42.0
O185,46.0
O186,46.0
O187,46.0
O188,43.0
O189,47.0
O190,42.0
O191,51.0
O192,51.0
O193,51.0
O194,50.0
O195,47.0
O196,49.0
O197,51.0
O198,45.0
O199,50.0
O200,51.0
O201,51.0
O202,50.0
O203,46.0
O204,52.0
O205,47.0
O206,51.0
O207,51.0
O208,51.0
O209,52.0
