order,x
O1,29.0
O2,26.0
O3,6.0
O4,12.0
O5,15.0
O6,22.0
O7,27.0
O8,15.0
O9,15.0
O10,30.0
O11,25.0
O12,42.0
O13,12.0
O14,22.0
O15,26.0
O16,24.0
O17,21.0
O18,33.0
O19,12.0
O20,12.0
O21,15.0
O22,30.0
O23,21.0
O24,21.0
O25,12.0
O26,12.0
O27,35.0
O28,24.0
O29,6.0
O30,12.0
O31,6.0
O32,27.0
O33,15.0
O34,15.0
O35,12.0
O36,15.0
O37,31.0
O38,6.0
O39,9.0
O40,35.0
O41,19.0
O42,25.0
O43,12.0
O44,6.0
O45,12.0
O46,6.0
O47,12.0
O48,25.0
O49,25.0
O50,29.0
O51,21.0
O52,22.0
O53,15.0
O54,15.0
O55,9.0
O56,15.0
O57,22.0
O58,20.0
O59,12.0
O60,12.0
O61,21.0
O62,19.0
O63,15.0
O64,12.0
O65,26.0
O66,32.0
O67,12.0
O68,12.0
O69,36.0
O70,25.0
O71,12.0
O72,21.0
O73,18.0
O74,17.0
O75,15.0
O76,20.0
O77,22.0
O78,15.0
O79,18.0
O80,15.0
O81,18.0
O82,15.0
O83,23.0
O84,30.0
O85,24.0
O86,22.0
O87,22.0
O88,25.0
O89,18.0
O90,19.0
O91,18.0
O92,21.0
O93,23.0
O94,27.0
O95,26.0
O96,29.0
O97,21.0
O98,23.0
O99,34.0
O100,25.0
O101,22.0
O102,25.0
O103,29.0
O104,33.0
O105,30.0
O106,35.0
O107,23.0
O108,29.0
O109,27.0
O110,18.0
O111,21.0
O112,25.0
O113,22.0
O114,26.0
O115,27.0
O116,25.0
O117,26.0
O118,24.0
O119,22.0
O120,27.0
O121,25.0
O122,32.0
O123,28.0
O124,27.0
O125,30.0
O126,27.0
O127,25.0
O128,27.0
O129,32.0
O130,28.0
O131,29.0
O132,32.0
O133,28.0
O134,32.0
O135,35.0
O136,32.0
O137,30.0
O138,29.0
O139,29.0
O140,29.0
O141,32.0
O142,32.0
O143,31.0
O144,30.0
O145,33.0
O146,34.0
O147,29.0
O148,31.0
O149,35.0
O150,33.0
O151,34.0
O152,33.0
O153,34.0
O154,33.0
O155,34.0
O156,34.0
O157,30.0
O158,34.0
O159,31.0
O160,34.0
O161,32.0
O162,35.0
O163,33.0
O164,35.0
O165,35.0
O166,35.0
O167,36.0
O168,35.0
O169,36.0
O170,35.0
O171,35.0
O172,35.0
O173,39.0
O174,39.0
O175,36.0
O176,39.0
O177,39.0
O178,45.0
O179,43.0
O180,43.0
O181,36.0
O182,42.0
O183,42.0
O184,42.0
O185,39.0
O186,38.0
O187,42.0
O188,39.0
O189,39.0
O190,39.0
O191,42.0
O192,39.0
O193,43.0
O194,42.0
O195,44.0
O196,46.0
O197,45.0
O198,39.0
O199,43.0
O200,46.0
O201,48.0
O202,43.0
O203,45.0
O204,47.0
O205,45.0
O206,45.0
O207,49.0
O208,45.0
O209,45.0
O210,46.0
O211,49.0
O212,45.0
O213,48.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
