order,x
O1,24.0
O2,27.0
O3,31.0
O4,25.0
O5,18.0
O6,30.0
O7,24.0
O8,15.0
O9,15.0
O10,25.0
O11,19.0
O12,18.0
O13,21.0
O14,20.0
O15,15.0
O16,12.0
O17,26.0
O18,19.0
O19,22.0
O20,18.0
O21,15.0
O22,9.0
O23,6.0
O24,15.0
O25,8.0
O26,30.0
O27,23.0
O28,12.0
O29,12.0
O30,31.0
O31,12.0
O32,12.0
O33,6.0
O34,30.0
O35,19.0
O36,13.0
O37,20.0
O38,12.0
O39,15.0
O40,22.0
O41,32.0
O42,10.0
O43,21.0
O44,9.0
O45,15.0
O46,31.0
O47,12.0
O48,27.0
O49,12.0
O50,15.0
O51,15.0
O52,22.0
O53,25.0
O54,12.0
O55,19.0
O56,26.0
O57,15.0
O58,15.0
O59,15.0
O60,19.0
O61,16.0
O62,44.0
O63,12.0
O64,12.0
O65,18.0
O66,32.0
O67,18.0
O68,20.0
O69,21.0
O70,25.0
O71,23.0
O72,22.0
O73,21.0
O74,31.0
O75,29.0
O76,25.0
O77,29.0
O78,25.0
O79,34.0
O80,37.0
O81,32.0
O82,21.0
O83,21.0
O84,21.0
O85,23.0
O86,30.0
O87,33.0
O88,32.0
O89,27.0
O90,24.0
O91,33.0
O92,26.0
O93,33.0
O94,27.0
O95,33.0
O96,28.0
O97,32.0
O98,29.0
O99,28.0
O100,27.0
O101,27.0
O102,36.0
O103,36.0
O104,46.0
O105,45.0
O106,37.0
O107,34.0
O108,34.0
O109,34.0
O110,30.0
O111,36.0
O112,36.0
O113,35.0
O114,38.0
O115,32.0
O116,31.0
O117,42.0
O118,41.0
O119,41.0
O120,38.0
O121,37.0
O122,40.0
O123,43.0
O124,42.0
O125,44.0
O126,36.0
O127,36.0
O128,45.0
O129,37.0
O130,37.0
O131,42.0
O132,41.0
O133,36.0
O134,45.0
O135,36.0
O136,38.0
O137,39.0
O138,43.0
O139,46.0
O140,42.0
O141,38.0
O142,43.0
O143,45.0
O144,43.0
O145,39.0
O146,43.0
O147,0.0
O148,46.0
O149,45.0
O150,41.0
O151,46.0
O152,38.0
O153,44.0
O154,46.0
O155,54.0
O156,48.0
O157,43.0
O158,48.0
O159,48.0
O160,44.0
O161,49.0
O162,47.0
O163,48.0
O164,46.0
O165,51.0
O166,49.0
O167,48.0
O168,48.0
O169,48.0
