order,x
O1,30.0
O2,45.0
O3,51.0
O4,45.0
O5,45.0
O6,21.0
O7,10.0
O8,21.0
O9,32.0
O10,12.0
O11,27.0
O12,9.0
O13,25.0
O14,12.0
O15,21.0
O16,12.0
O17,12.0
O18,18.0
O19,12.0
O20,18.0
O21,37.0
O22,6.0
O23,24.0
O24,7.0
O25,21.0
O26,19.0
O27,21.0
O28,18.0
O29,15.0
O30,15.0
O31,15.0
O32,12.0
O33,9.0
O34,15.0
O35,15.0
O36,15.0
O37,36.0
O38,6.0
O39,6.0
O40,21.0
O41,12.0
O42,9.0
O43,26.0
O44,9.0
O45,9.0
O46,15.0
O47,22.0
O48,15.0
O49,12.0
O50,26.0
O51,9.0
O52,18.0
O53,9.0
O54,15.0
O55,12.0
O56,27.0
O57,12.0
O58,36.0
O59,12.0
O60,15.0
O61,24.0
O62,15.0
O63,24.0
O64,12.0
O65,18.0
O66,12.0
O67,12.0
O68,22.0
O69,36.0
O70,15.0
O71,18.0
O72,27.0
O73,15.0
O74,31.0
O75,23.0
O76,15.0
O77,23.0
O78,29.0
O79,25.0
O80,23.0
O81,15.0
O82,21.0
O83,24.0
O84,19.0
O85,18.0
O86,18.0
O87,24.0
O88,19.0
O89,18.0
O90,18.0
O91,18.0
O92,15.0
O93,18.0
O94,22.0
O95,28.0
O96,18.0
O97,28.0
O98,24.0
O99,18.0
O100,32.0
O101,33.0
O102,18.0
O103,23.0
O104,18.0
O105,25.0
O106,21.0
O107,24.0
O108,23.0
O109,24.0
O110,25.0
O111,21.0
O112,30.0
O113,28.0
O114,22.0
O115,32.0
O116,26.0
O117,30.0
O118,28.0
O119,26.0
O120,27.0
O121,33.0
O122,24.0
O123,32.0
O124,31.0
O125,27.0
O126,24.0
O127,37.0
O128,33.0
O129,27.0
O130,27.0
O131,45.0
O132,27.0
O133,35.0
O134,29.0
O135,27.0
O136,28.0
O137,27.0
O138,32.0
O139,28.0
O140,27.0
O141,27.0
O142,30.0
O143,35.0
O144,30.0
O145,33.0
O146,30.0
O147,36.0
O148,36.0
O149,27.0
O150,33.0
O151,34.0
O152,36.0
O153,33.0
O154,33.0
O155,39.0
O156,37.0
O157,36.0
O158,39.0
O159,33.0
O160,34.0
O161,33.0
O162,33.0
O163,33.0
O164,36.0
O165,33.0
O166,33.0
O167,33.0
O168,33.0
O169,30.0
O170,30.0
O171,36.0
O172,33.0
O173,33.0
O174,33.0
O175,39.0
O176,33.0
O177,33.0
O178,36.0
O179,40.0
O180,33.0
O181,34.0
O182,37.0
O183,35.0
O184,37.0
O185,34.0
O186,36.0
O187,38.0
O188,37.0
O189,37.0
O190,37.0
O191,42.0
O192,33.0
O193,45.0
O194,43.0
O195,39.0
O196,39.0
O197,39.0
O198,39.0
O199,45.0
O200,43.0
O201,44.0
O202,42.0
O203,39.0
O204,39.0
O205,39.0
O206,39.0
O207,42.0
O208,42.0
O209,42.0
O210,42.0
O211,46.0
O212,42.0
O213,51.0
O214,45.0
O215,50.0
O216,45.0
O217,45.0
O218,42.0
O219,45.0
O220,51.0
O221,52.0
