order,x
O1,17.0
O2,27.0
O3,15.0
O4,22.0
O5,15.0
O6,18.0
O7,21.0
O8,21.0
O9,22.0
O10,12.0
O11,15.0
O12,27.0
O13,24.0
O14,18.0
O15,21.0
O16,9.0
O17,18.0
O18,25.0
O19,12.0
O20,29.0
O21,26.0
O22,12.0
O23,18.0
O24,12.0
O25,12.0
O26,18.0
O27,25.0
O28,15.0
O29,35.0
O30,12.0
O31,15.0
O32,23.0
O33,23.0
O34,29.0
O35,25.0
O36,20.0
O37,23.0
O38,9.0
O39,28.0
O40,26.0
O41,29.0
O42,9.0
O43,15.0
O44,12.0
O45,9.0
O46,9.0
O47,23.0
O48,15.0
O49,21.0
O50,24.0
O51,21.0
O52,12.0
O53,12.0
O54,7.0
O55,20.0
O56,26.0
O57,25.0
O58,30.0
O59,6.0
O60,19.0
O61,23.0
O62,12.0
O63,23.0
O64,34.0
O65,31.0
O66,29.0
O67,28.0
O68,28.0
O69,33.0
O70,31.0
O71,12.0
O72,30.0
O73,16.0
O74,23.0
O75,28.0
O76,15.0
O77,18.0
O78,27.0
O79,22.0
O80,15.0
O81,18.0
O82,19.0
O83,22.0
O84,22.0
O85,31.0
O86,20.0
O87,29.0
O88,22.0
O89,27.0
O90,27.0
O91,29.0
O92,29.0
O93,26.0
O94,29.0
O95,33.0
O96,28.0
O97,39.0
O98,21.0
O99,45.0
O100,24.0
O101,23.0
O102,45.0
O103,39.0
O104,24.0
O105,48.0
O106,39.0
O107,47.0
O108,26.0
O109,47.0
O110,30.0
O111,31.0
O112,29.0
O113,35.0
O114,32.0
O115,33.0
O116,26.0
O117,34.0
O118,36.0
O119,32.0
O120,30.0
O121,33.0
O122,33.0
O123,39.0
O124,33.0
O125,39.0
O126,39.0
O127,42.0
O128,33.0
O129,38.0
O130,35.0
O131,35.0
O132,33.0
O133,39.0
O134,39.0
O135,36.0
O136,35.0
O137,35.0
O138,33.0
O139,49.0
O140,32.0
O141,40.0
O142,42.0
O143,40.0
O144,38.0
O145,41.0
O146,39.0
O147,39.0
O148,41.0
O149,41.0
O150,42.0
O151,45.0
O152,44.0
O153,43.0
O154,48.0
O155,45.0
O156,48.0
O157,51.0
O158,42.0
O159,47.0
O160,53.0
O161,42.0
O162,42.0
O163,43.0
O164,51.0
O165,43.0
O166,51.0
O167,44.0
O168,44.0
O169,46.0
O170,46.0
O171,46.0
O172,50.0
