order,x
O1,30.0
O2,29.0
O3,20.0
O4,12.0
O5,18.0
O6,21.0
O7,33.0
O8,18.0
O9,30.0
O10,18.0
O11,11.0
O12,8.0
O13,9.0
O14,27.0
O15,23.0
O16,18.0
O17,12.0
O18,36.0
O19,32.0
O20,12.0
O21,9.0
O22,15.0
O23,35.0
O24,21.0
O25,27.0
O26,15.0
O27,6.0
O28,23.0
O29,9.0
O30,28.0
O31,15.0
O32,23.0
O33,15.0
O34,20.0
O35,18.0
O36,15.0
O37,21.0
O38,15.0
O39,15.0
O40,15.0
O41,27.0
O42,33.0
O43,12.0
O44,20.0
O45,31.0
O46,20.0
O47,29.0
O48,31.0
O49,27.0
O50,15.0
O51,36.0
O52,37.0
O53,15.0
O54,15.0
O55,25.0
O56,33.0
O57,18.0
O58,15.0
O59,15.0
O60,15.0
O61,15.0
O62,31.0
O63,18.0
O64,37.0
O65,36.0
O66,15.0
O67,15.0
O68,15.0
O69,21.0
O70,27.0
O71,22.0
O72,18.0
O73,22.0
O74,27.0
O75,18.0
O76,36.0
O77,22.0
O78,18.0
O79,18.0
O80,21.0
O81,34.0
O82,18.0
O83,19.0
O84,22.0
O85,27.0
O86,23.0
O87,21.0
O88,25.0
O89,25.0
O90,25.0
O91,27.0
O92,21.0
O93,23.0
O94,21.0
O95,24.0
O96,27.0
O97,26.0
O98,30.0
O99,24.0
O100,21.0
O101,21.0
O102,42.0
O103,39.0
O104,22.0
O105,22.0
O106,39.0
O107,33.0
O108,30.0
O109,28.0
O110,30.0
O111,33.0
O112,29.0
O113,28.0
O114,27.0
O115,24.0
O116,27.0
O117,29.0
O118,28.0
O119,28.0
O120,27.0
O121,28.0
O122,28.0
O123,33.0
O124,27.0
O125,29.0
O126,33.0
O127,33.0
O128,32.0
O129,33.0
O130,33.0
O131,30.0
O132,29.0
O133,32.0
O134,34.0
O135,30.0
O136,34.0
O137,33.0
O138,34.0
O139,35.0
O140,34.0
O141,35.0
O142,35.0
O143,36.0
O144,35.0
O145,35.0
O146,38.0
O147,30.0
O148,36.0
O149,36.0
O150,37.0
O151,38.0
O152,33.0
O153,40.0
O154,37.0
O155,37.0
O156,37.0
O157,38.0
O158,41.0
O159,38.0
O160,38.0
O161,39.0
O162,40.0
O163,39.0
O164,39.0
O165,39.0
O166,37.0
O167,43.0
O168,39.0
O169,41.0
O170,45.0
O171,41.0
O172,40.0
O173,45.0
O174,43.0
O175,41.0
O176,40.0
O177,42.0
O178,40.0
O179,51.0
O180,41.0
O181,40.0
O182,40.0
O183,41.0
O184,42.0
O185,44.0
O186,45.0
O187,42.0
O188,51.0
O189,43.0
O190,42.0
O191,49.0
O192,45.0
O193,45.0
O194,45.0
O195,49.0
O196,46.0
O197,48.0
