order,x
O1,27.0
O2,21.0
O3,23.0
O4,27.0
O5,12.0
O6,18.0
O7,21.0
O8,34.0
O9,21.0
O10,9.0
O11,22.0
O12,26.0
O13,15.0
O14,16.0
O15,15.0
O16,12.0
O17,30.0
O18,8.0
O19,29.0
O20,12.0
O21,15.0
O22,26.0
O23,25.0
O24,15.0
O25,25.0
O26,15.0
O27,15.0
O28,6.0
O29,26.0
O30,31.0
O31,28.0
O32,23.0
O33,15.0
O34,15.0
O35,35.0
O36,27.0
O37,18.0
O38,10.0
O39,12.0
O40,34.0
O41,20.0
O42,21.0
O43,29.0
O44,29.0
O45,20.0
O46,12.0
O47,29.0
O48,10.0
O49,8.0
O50,29.0
O51,12.0
O52,22.0
O53,33.0
O54,30.0
O55,29.0
O56,12.0
O57,12.0
O58,9.0
O59,12.0
O60,15.0
O61,15.0
O62,15.0
O63,15.0
O64,12.0
O65,23.0
O66,12.0
O67,23.0
O68,15.0
O69,19.0
O70,21.0
O71,23.0
O72,21.0
O73,15.0
O74,24.0
O75,12.0
O76,22.0
O77,17.0
O78,23.0
O79,28.0
O80,31.0
O81,19.0
O82,36.0
O83,18.0
O84,22.0
O85,18.0
O86,39.0
O87,18.0
O88,19.0
O89,21.0
O90,23.0
O91,24.0
O92,27.0
O93,27.0
O94,32.0
O95,23.0
O96,30.0
O97,30.0
O98,30.0
O99,36.0
O100,32.0
O101,31.0
O102,31.0
O103,31.0
O104,30.0
O105,37.0
O106,42.0
O107,36.0
O108,44.0
O109,39.0
O110,37.0
O111,31.0
O112,45.0
O113,42.0
O114,45.0
O115,39.0
O116,48.0
O117,44.0
O118,42.0
O119,51.0
O120,47.0
O121,49.0
O122,50.0
O123,49.0
O124,49.0
O125,49.0
O126,45.0
O127,55.0
O128,52.0
O129,46.0
O130,49.0
O131,55.0
O132,54.0
O133,57.0
O134,49.0
O135,54.0
O136,58.0
O137,35.0
O138,34.0
O139,36.0
O140,50.0
O141,34.0
O142,35.0
O143,41.0
O144,53.0
O145,37.0
O146,42.0
O147,37.0
O148,36.0
O149,37.0
O150,38.0
O151,39.0
O152,40.0
O153,37.0
O154,39.0
O155,44.0
O156,41.0
O157,38.0
O158,38.0
O159,41.0
O160,44.0
O161,37.0
O162,43.0
O163,47.0
O164,41.0
O165,45.0
O166,44.0
O167,42.0
O168,44.0
O169,39.0
O170,45.0
O171,43.0
O172,42.0
O173,48.0
O174,47.0
O175,46.0
O176,50.0
O177,50.0
O178,51.0
O179,51.0
O180,46.0
O181,55.0
O182,50.0
O183,51.0
O184,53.0
O185,54.0
O186,56.0
O187,51.0
O188,51.0
O189,54.0
O190,55.0
O191,55.0
O192,55.0
O193,55.0
O194,55.0
O195,54.0
O196,55.0
O197,54.0
