order,x
O1,27.0
O2,12.0
O3,24.0
O4,9.0
O5,26.0
O6,18.0
O7,9.0
O8,25.0
O9,9.0
O10,27.0
O11,9.0
O12,24.0
O13,23.0
O14,12.0
O15,15.0
O16,12.0
O17,33.0
O18,19.0
O19,16.0
O20,9.0
O21,20.0
O22,16.0
O23,9.0
O24,15.0
O25,12.0
O26,6.0
O27,34.0
O28,6.0
O29,15.0
O30,12.0
O31,10.0
O32,25.0
O33,27.0
O34,15.0
O35,9.0
O36,15.0
O37,8.0
O38,7.0
O39,9.0
O40,27.0
O41,12.0
O42,25.0
O43,7.0
O44,27.0
O45,12.0
O46,15.0
O47,12.0
O48,31.0
O49,20.0
O50,25.0
O51,23.0
O52,16.0
O53,12.0
O54,15.0
O55,15.0
O56,12.0
O57,9.0
O58,16.0
O59,20.0
O60,15.0
O61,9.0
O62,16.0
O63,12.0
O64,21.0
O65,12.0
O66,12.0
O67,13.0
O68,24.0
O69,16.0
O70,15.0
O71,12.0
O72,30.0
O73,29.0
O74,30.0
O75,15.0
O76,28.0
O77,15.0
O78,29.0
O79,12.0
O80,28.0
O81,18.0
O82,21.0
O83,22.0
O84,24.0
O85,17.0
O86,21.0
O87,19.0
O88,23.0
O89,17.0
O90,19.0
O91,18.0
O92,22.0
O93,21.0
O94,26.0
O95,30.0
O96,22.0
O97,18.0
O98,20.0
O99,20.0
O100,23.0
O101,26.0
O102,23.0
O103,18.0
O104,22.0
O105,19.0
O106,20.0
O107,25.0
O108,23.0
O109,39.0
O110,48.0
O111,36.0
O112,20.0
O113,36.0
O114,39.0
O115,39.0
O116,25.0
O117,39.0
O118,39.0
O119,43.0
O120,39.0
O121,39.0
O122,41.0
O123,44.0
O124,45.0
O125,51.0
O126,42.0
O127,43.0
O128,26.0
O129,27.0
O130,44.0
O131,28.0
O132,42.0
O133,51.0
O134,46.0
O135,45.0
O136,46.0
O137,51.0
O138,47.0
O139,46.0
O140,36.0
O141,36.0
O142,36.0
O143,38.0
O144,36.0
O145,36.0
O146,36.0
O147,36.0
O148,40.0
O149,36.0
O150,36.0
O151,39.0
O152,36.0
O153,40.0
O154,36.0
O155,36.0
O156,36.0
O157,42.0
O158,44.0
O159,41.0
O160,41.0
O161,42.0
O162,39.0
O163,39.0
O164,41.0
O165,39.0
O166,42.0
O167,39.0
O168,45.0
O169,40.0
O170,43.0
O171,39.0
O172,43.0
O173,39.0
O174,42.0
O175,46.0
O176,45.0
O177,42.0
O178,43.0
O179,42.0
O180,46.0
O181,41.0
O182,54.0
O183,47.0
O184,48.0
O185,45.0
O186,46.0
O187,48.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
