order,x
O1,12.0
O2,34.0
O3,18.0
O4,42.0
O5,12.0
O6,9.0
O7,12.0
O8,27.0
O9,12.0
O10,15.0
O11,24.0
O12,33.0
O13,9.0
O14,33.0
O15,36.0
O16,26.0
O17,19.0
O18,12.0
O19,9.0
O20,12.0
O21,12.0
O22,6.0
O23,24.0
O24,21.0
O25,18.0
O26,15.0
O27,9.0
O28,18.0
O29,15.0
O30,17.0
O31,19.0
O32,19.0
O33,10.0
O34,12.0
O35,10.0
O36,36.0
O37,37.0
O38,12.0
O39,32.0
O40,12.0
O41,17.0
O42,15.0
O43,12.0
O44,12.0
O45,18.0
O46,17.0
O47,18.0
O48,8.0
O49,12.0
O50,12.0
O51,17.0
O52,10.0
O53,21.0
O54,21.0
O55,12.0
O56,21.0
O57,33.0
O58,12.0
O59,12.0
O60,15.0
O61,12.0
O62,17.0
O63,29.0
O64,22.0
O65,12.0
O66,20.0
O67,12.0
O68,27.0
O69,12.0
O70,14.0
O71,19.0
O72,22.0
O73,12.0
O74,22.0
O75,29.0
O76,12.0
O77,23.0
O78,33.0
O79,19.0
O80,21.0
O81,27.0
O82,27.0
O83,26.0
O84,24.0
O85,17.0
O86,18.0
O87,19.0
O88,21.0
O89,17.0
O90,18.0
O91,22.0
O92,36.0
O93,26.0
O94,23.0
O95,22.0
O96,30.0
O97,22.0
O98,21.0
O99,35.0
O100,27.0
O101,24.0
O102,27.0
O103,28.0
O104,24.0
O105,27.0
O106,25.0
O107,24.0
O108,30.0
O109,25.0
O110,28.0
O111,29.0
O112,30.0
O113,24.0
O114,26.0
O115,32.0
O116,27.0
O117,27.0
O118,31.0
O119,28.0
O120,30.0
O121,30.0
O122,28.0
O123,32.0
O124,28.0
O125,47.0
O126,45.0
O127,45.0
O128,43.0
O129,30.0
O130,28.0
O131,46.0
O132,34.0
O133,34.0
O134,31.0
O135,34.0
O136,33.0
O137,34.0
O138,36.0
O139,36.0
O140,34.0
O141,33.0
O142,40.0
O143,31.0
O144,33.0
O145,35.0
O146,35.0
O147,34.0
O148,37.0
O149,30.0
O150,38.0
O151,33.0
O152,36.0
O153,38.0
O154,42.0
O155,37.0
O156,36.0
O157,34.0
O158,39.0
O159,39.0
O160,41.0
O161,37.0
O162,36.0
O163,41.0
O164,38.0
O165,38.0
O166,42.0
O167,40.0
O168,40.0
O169,40.0
O170,39.0
O171,43.0
O172,39.0
O173,39.0
O174,39.0
O175,41.0
O176,39.0
O177,41.0
O178,43.0
O179,43.0
O180,44.0
O181,41.0
O182,44.0
O183,45.0
O184,43.0
O185,44.0
O186,44.0
O187,44.0
O188,44.0
O189,44.0
O190,46.0
O191,47.0
O192,48.0
O193,45.0
O194,47.0
O195,48.0
O196,47.0
O197,46.0
O198,48.0
O199,51.0
O200,44.0
O201,49.0
O202,46.0
O203,47.0
O204,51.0
O205,45.0
O206,51.0
O207,48.0
O208,49.0
O209,50.0
O210,50.0
O211,51.0
O212,50.0
